,date,home_team,score,away_team
102,06-05-2023,Club Internacional de Fútbol Miami,2 - 1,Atlanta United FC
103,13-05-2023,Club Internacional de Fútbol Miami,2 - 1,New England Revolution
104,18-05-2023,Nashville SC (MLS),2 - 1,Club Internacional de Fútbol Miami
105,20-05-2023,Club Internacional de Fútbol Miami,1 - 3,Orlando City SC
106,27-05-2023,Montreal Impact,1 - 0,Club Internacional de Fútbol Miami
107,31-05-2023,Club Internacional de Fútbol Miami,0 - 1,New York Red Bulls
108,03-06-2023,Club Internacional de Fútbol Miami,1 - 2,DC United
109,10-06-2023,New England Revolution,3 - 1,Club Internacional de Fútbol Miami
110,24-06-2023,Philadelphia Union,4 - 1,Club Internacional de Fútbol Miami
111,01-07-2023,Club Internacional de Fútbol Miami,1 - 1,Austin
112,04-07-2023,Club Internacional de Fútbol Miami,2 - 2,Columbus Crew
113,08-07-2023,DC United,2 - 2,Club Internacional de Fútbol Miami
114,16-07-2023,St. Louis City,? - ?,Club Internacional de Fútbol Miami
115,27-02-2023,Seattle Sounders FC,4 - 0,Colorado Rapids
116,05-03-2023,Colorado Rapids,0 - 0,Sporting Kansas City
117,12-03-2023,San Jose Earthquakes,1 - 0,Colorado Rapids
118,19-03-2023,Colorado Rapids,1 - 2,Minnesota Utd
119,26-03-2023,Austin,1 - 1,Colorado Rapids
120,02-04-2023,Colorado Rapids,0 - 0,Los Angeles FC
121,09-04-2023,Sporting Kansas City,0 - 1,Colorado Rapids
122,15-04-2023,Charlotte,2 - 2,Colorado Rapids
123,23-04-2023,Colorado Rapids,1 - 1,St. Louis City
124,30-04-2023,Vancouver Whitecaps,0 - 0,Colorado Rapids
125,07-05-2023,LA Galaxy,1 - 3,Colorado Rapids
126,14-05-2023,Colorado Rapids,1 - 2,Philadelphia Union
127,17-05-2023,Atlanta United FC,4 - 0,Colorado Rapids
128,21-05-2023,Colorado Rapids,2 - 3,Real Salt Lake
129,28-05-2023,Colorado Rapids,0 - 1,FC Cincinnati
130,31-05-2023,Columbus Crew,3 - 2,Colorado Rapids
131,04-06-2023,Colorado Rapids,0 - 0,San Jose Earthquakes
132,10-06-2023,Orlando City SC,2 - 0,Colorado Rapids
133,25-06-2023,Colorado Rapids,0 - 0,LA Galaxy
134,02-07-2023,St. Louis City,2 - 0,Colorado Rapids
135,09-07-2023,Colorado Rapids,2 - 1,FC Dallas
136,13-07-2023,Colorado Rapids,0 - 0,Portland Timbers
137,16-07-2023,Colorado Rapids,? - ?,Houston Dynamo
138,26-02-2023,Philadelphia Union,4 - 1,Columbus Crew
139,05-03-2023,Columbus Crew,2 - 0,DC United
140,12-03-2023,Toronto FC,1 - 1,Columbus Crew
141,18-03-2023,New York Red Bulls,2 - 1,Columbus Crew
142,25-03-2023,Columbus Crew,6 - 1,Atlanta United FC
143,01-04-2023,Columbus Crew,4 - 0,Real Salt Lake
144,08-04-2023,DC United,0 - 2,Columbus Crew
145,15-04-2023,Columbus Crew,1 - 1,New England Revolution
146,22-04-2023,Charlotte,1 - 0,Columbus Crew
147,29-04-2023,Columbus Crew,1 - 2,Club Internacional de Fútbol Miami
148,13-05-2023,Columbus Crew,2 - 2,Orlando City SC
149,17-05-2023,Columbus Crew,2 - 0,LA Galaxy
150,20-05-2023,FC Cincinnati,3 - 2,Columbus Crew
151,29-05-2023,Nashville SC (MLS),3 - 1,Columbus Crew
152,31-05-2023,Columbus Crew,3 - 2,Colorado Rapids
153,03-06-2023,Columbus Crew,4 - 2,Charlotte
154,11-06-2023,Chicago Fire,1 - 2,Columbus Crew
155,17-06-2023,New York City FC,1 - 1,Columbus Crew
156,24-06-2023,Columbus Crew,2 - 0,Nashville SC (MLS)
157,01-07-2023,Columbus Crew,2 - 1,New York Red Bulls
158,04-07-2023,Club Internacional de Fútbol Miami,2 - 2,Columbus Crew
159,08-07-2023,Columbus Crew,1 - 1,New York City FC
160,16-07-2023,Portland Timbers,? - ?,Columbus Crew
161,26-02-2023,DC United,3 - 2,Toronto FC
162,05-03-2023,Columbus Crew,2 - 0,DC United
163,12-03-2023,DC United,1 - 1,Orlando City SC
164,18-03-2023,New York City FC,3 - 2,DC United
165,25-03-2023,DC United,1 - 2,New England Revolution
166,02-04-2023,Chicago Fire,0 - 0,DC United
167,08-04-2023,DC United,0 - 2,Columbus Crew
168,15-04-2023,Montreal Impact,0 - 1,DC United
169,22-04-2023,Orlando City SC,1 - 3,DC United
170,29-04-2023,DC United,3 - 0,Charlotte
171,06-05-2023,FC Cincinnati,2 - 1,DC United
172,13-05-2023,DC United,1 - 1,Nashville SC (MLS)
173,17-05-2023,Philadelphia Union,0 - 0,DC United
174,20-05-2023,DC United,3 - 0,LA Galaxy
175,27-05-2023,Toronto FC,2 - 1,DC United
176,31-05-2023,DC United,2 - 2,Montreal Impact
177,03-06-2023,Club Internacional de Fútbol Miami,1 - 2,DC United
178,10-06-2023,Atlanta United FC,3 - 1,DC United
179,17-06-2023,DC United,1 - 2,Real Salt Lake
180,24-06-2023,DC United,3 - 0,FC Cincinnati
181,02-07-2023,Nashville SC (MLS),2 - 0,DC United
182,05-07-2023,FC Dallas,0 - 1,DC United
183,08-07-2023,DC United,2 - 2,Club Internacional de Fútbol Miami
184,15-07-2023,New England Revolution,? - ?,DC United
185,26-02-2023,FC Cincinnati,2 - 1,Houston Dynamo
186,05-03-2023,Orlando City SC,0 - 0,FC Cincinnati
187,12-03-2023,FC Cincinnati,1 - 0,Seattle Sounders FC
188,19-03-2023,Chicago Fire,3 - 3,FC Cincinnati
189,26-03-2023,Nashville SC (MLS),0 - 1,FC Cincinnati
190,01-04-2023,FC Cincinnati,1 - 0,Club Internacional de Fútbol Miami
191,08-04-2023,FC Cincinnati,1 - 0,Philadelphia Union
192,16-04-2023,St. Louis City,5 - 1,FC Cincinnati
193,22-04-2023,FC Cincinnati,2 - 1,Portland Timbers
194,29-04-2023,New England Revolution,1 - 1,FC Cincinnati
195,06-05-2023,FC Cincinnati,2 - 1,DC United
196,17-05-2023,FC Cincinnati,3 - 0,Montreal Impact
197,20-05-2023,FC Cincinnati,3 - 2,Columbus Crew
198,28-05-2023,Colorado Rapids,0 - 1,FC Cincinnati
199,31-05-2023,New York City FC,1 - 3,FC Cincinnati
200,03-06-2023,FC Cincinnati,1 - 0,Chicago Fire
201,11-06-2023,Vancouver Whitecaps,1 - 1,FC Cincinnati
202,21-06-2023,FC Cincinnati,3 - 0,Toronto FC
203,24-06-2023,DC United,3 - 0,FC Cincinnati
204,01-07-2023,FC Cincinnati,2 - 2,New England Revolution
205,08-07-2023,Charlotte,2 - 2,FC Cincinnati
206,12-07-2023,New York Red Bulls,1 - 2,FC Cincinnati
207,15-07-2023,FC Cincinnati,? - ?,Nashville SC (MLS)
208,26-02-2023,FC Dallas,0 - 1,Minnesota Utd
209,05-03-2023,FC Dallas,3 - 1,LA Galaxy
210,11-03-2023,Vancouver Whitecaps,1 - 1,FC Dallas
211,19-03-2023,FC Dallas,2 - 1,Sporting Kansas City
212,26-03-2023,Los Angeles FC,2 - 1,FC Dallas
213,02-04-2023,FC Dallas,1 - 1,Portland Timbers
214,08-04-2023,Club Internacional de Fútbol Miami,0 - 1,FC Dallas
215,16-04-2023,FC Dallas,2 - 1,Real Salt Lake
216,22-04-2023,New York City FC,3 - 1,FC Dallas
217,01-05-2023,Minnesota Utd,0 - 0,FC Dallas
218,07-05-2023,FC Dallas,0 - 0,St. Louis City
219,14-05-2023,Austin,0 - 1,FC Dallas
220,18-05-2023,FC Dallas,2 - 1,Vancouver Whitecaps
221,21-05-2023,FC Dallas,1 - 1,Houston Dynamo
222,28-05-2023,San Jose Earthquakes,1 - 1,FC Dallas
223,01-06-2023,Sporting Kansas City,2 - 1,FC Dallas
224,04-06-2023,FC Dallas,1 - 2,Nashville SC (MLS)
