,date,home_team,score,away_team
99,03-09-2022,Krasnodar,2 - 1,FK SOCHI
100,09-09-2022,FK SOCHI,2 - 1,Dinamo Moscow
101,18-09-2022,FK SOCHI,1 - 1,Fakel Voronezh
102,01-10-2022,Gazovik Orenburg,4 - 1,FK SOCHI
103,08-10-2022,FK SOCHI,4 - 0,Lokomotiv M
104,16-10-2022,Krylya Samara,2 - 0,FK SOCHI
105,24-10-2022,Zenit St Petersburg,7 - 0,FK SOCHI
106,30-10-2022,FK SOCHI,2 - 2,Ural
107,05-11-2022,FK SOCHI,1 - 1,Spartak M
108,13-11-2022,FC Khimki,0 - 2,FK SOCHI
109,05-03-2023,FK SOCHI,2 - 0,CSKA Moscow
110,10-03-2023,FK SOCHI,0 - 4,Gazovik Orenburg
111,18-03-2023,Fakel Voronezh,3 - 0,FK SOCHI
112,01-04-2023,Dinamo Moscow,0 - 2,FK SOCHI
113,09-04-2023,FK SOCHI,1 - 2,Krylya Samara
114,15-04-2023,FK SOCHI,0 - 2,Krasnodar
115,23-04-2023,Terek Grozny,1 - 0,FK SOCHI
116,30-04-2023,FK SOCHI,3 - 1,Torpedo Moskva
117,08-05-2023,Lokomotiv M,3 - 0,FK SOCHI
118,14-05-2023,FK SOCHI,1 - 0,Rostov
119,22-05-2023,Nizhny Novgorod,4 - 0,FK SOCHI
120,27-05-2023,FK SOCHI,1 - 1,Zenit St Petersburg
121,03-06-2023,Ural,1 - 0,FK SOCHI
122,17-07-2022,Krasnodar,2 - 2,Fakel Voronezh
123,24-07-2022,Terek Grozny,2 - 1,Fakel Voronezh
124,30-07-2022,Fakel Voronezh,3 - 3,Dinamo Moscow
125,06-08-2022,CSKA Moscow,4 - 1,Fakel Voronezh
126,12-08-2022,Fakel Voronezh,0 - 0,Ural
127,19-08-2022,Krylya Samara,1 - 1,Fakel Voronezh
128,27-08-2022,Fakel Voronezh,1 - 4,Spartak M
129,03-09-2022,Nizhny Novgorod,3 - 1,Fakel Voronezh
130,11-09-2022,Fakel Voronezh,2 - 0,Lokomotiv M
131,18-09-2022,FK SOCHI,1 - 1,Fakel Voronezh
132,02-10-2022,Fakel Voronezh,2 - 2,Torpedo Moskva
133,08-10-2022,Fakel Voronezh,1 - 1,Zenit St Petersburg
134,15-10-2022,FC Khimki,0 - 0,Fakel Voronezh
135,22-10-2022,Fakel Voronezh,1 - 1,Rostov
136,28-10-2022,Gazovik Orenburg,4 - 1,Fakel Voronezh
137,05-11-2022,Fakel Voronezh,3 - 3,Krasnodar
138,12-11-2022,Ural,2 - 0,Fakel Voronezh
139,03-03-2023,Fakel Voronezh,1 - 1,FC Khimki
140,11-03-2023,Spartak M,3 - 2,Fakel Voronezh
141,18-03-2023,Fakel Voronezh,3 - 0,FK SOCHI
142,02-04-2023,Fakel Voronezh,0 - 2,CSKA Moscow
143,08-04-2023,Torpedo Moskva,2 - 0,Fakel Voronezh
144,16-04-2023,Fakel Voronezh,1 - 1,Terek Grozny
145,22-04-2023,Fakel Voronezh,1 - 3,Gazovik Orenburg
146,28-04-2023,Dinamo Moscow,0 - 2,Fakel Voronezh
147,06-05-2023,Rostov,0 - 2,Fakel Voronezh
148,14-05-2023,Fakel Voronezh,1 - 0,Nizhny Novgorod
149,20-05-2023,Lokomotiv M,1 - 0,Fakel Voronezh
150,28-05-2023,Fakel Voronezh,2 - 1,Krylya Samara
151,03-06-2023,Zenit St Petersburg,1 - 0,Fakel Voronezh
152,07-06-2023,Enisey,0 - 1,Fakel Voronezh
153,10-06-2023,Fakel Voronezh,2 - 0,Enisey
154,16-07-2022,Gazovik Orenburg,2 - 4,Krylya Samara
155,23-07-2022,Gazovik Orenburg,3 - 0,Ural
156,31-07-2022,Spartak M,4 - 1,Gazovik Orenburg
157,07-08-2022,Rostov,2 - 1,Gazovik Orenburg
158,14-08-2022,Gazovik Orenburg,1 - 0,Torpedo Moskva
159,21-08-2022,Krasnodar,2 - 0,Gazovik Orenburg
160,28-08-2022,Lokomotiv M,5 - 1,Gazovik Orenburg
161,03-09-2022,Gazovik Orenburg,3 - 1,FC Khimki
162,11-09-2022,Zenit St Petersburg,8 - 0,Gazovik Orenburg
163,18-09-2022,Nizhny Novgorod,0 - 2,Gazovik Orenburg
164,01-10-2022,Gazovik Orenburg,4 - 1,FK SOCHI
165,09-10-2022,Gazovik Orenburg,2 - 1,Terek Grozny
166,15-10-2022,Dinamo Moscow,3 - 2,Gazovik Orenburg
167,23-10-2022,Gazovik Orenburg,2 - 2,CSKA Moscow
168,28-10-2022,Gazovik Orenburg,4 - 1,Fakel Voronezh
169,04-11-2022,FC Khimki,2 - 0,Gazovik Orenburg
170,13-11-2022,Gazovik Orenburg,5 - 1,Krasnodar
171,04-03-2023,Terek Grozny,3 - 1,Gazovik Orenburg
172,10-03-2023,FK SOCHI,0 - 4,Gazovik Orenburg
173,18-03-2023,Gazovik Orenburg,2 - 0,Spartak M
174,02-04-2023,Krylya Samara,1 - 1,Gazovik Orenburg
175,10-04-2023,Gazovik Orenburg,2 - 2,Rostov
176,16-04-2023,Gazovik Orenburg,1 - 4,Lokomotiv M
177,22-04-2023,Fakel Voronezh,1 - 3,Gazovik Orenburg
178,30-04-2023,Gazovik Orenburg,1 - 0,Nizhny Novgorod
179,07-05-2023,CSKA Moscow,2 - 1,Gazovik Orenburg
180,13-05-2023,Ural,2 - 1,Gazovik Orenburg
181,20-05-2023,Gazovik Orenburg,2 - 2,Zenit St Petersburg
182,27-05-2023,Torpedo Moskva,1 - 3,Gazovik Orenburg
183,03-06-2023,Gazovik Orenburg,3 - 0,Dinamo Moscow
184,17-07-2022,Krasnodar,2 - 2,Fakel Voronezh
185,23-07-2022,Krasnodar,1 - 4,Spartak M
186,29-07-2022,Ural,1 - 3,Krasnodar
187,06-08-2022,Krasnodar,3 - 0,Lokomotiv M
188,13-08-2022,Dinamo Moscow,0 - 0,Krasnodar
189,21-08-2022,Krasnodar,2 - 0,Gazovik Orenburg
190,28-08-2022,Torpedo Moskva,1 - 4,Krasnodar
191,03-09-2022,Krasnodar,2 - 1,FK SOCHI
192,10-09-2022,CSKA Moscow,4 - 1,Krasnodar
193,18-09-2022,Krasnodar,3 - 1,FC Khimki
194,03-10-2022,Krylya Samara,0 - 0,Krasnodar
195,09-10-2022,Rostov,3 - 2,Krasnodar
196,15-10-2022,Krasnodar,2 - 3,Terek Grozny
197,22-10-2022,Nizhny Novgorod,0 - 2,Krasnodar
198,30-10-2022,Krasnodar,0 - 1,Zenit St Petersburg
199,05-11-2022,Fakel Voronezh,3 - 3,Krasnodar
200,13-11-2022,Gazovik Orenburg,5 - 1,Krasnodar
201,05-03-2023,Krasnodar,2 - 2,Torpedo Moskva
202,11-03-2023,Krasnodar,3 - 1,Dinamo Moscow
203,18-03-2023,Lokomotiv M,3 - 2,Krasnodar
204,02-04-2023,FC Khimki,0 - 6,Krasnodar
205,09-04-2023,Krasnodar,3 - 1,Nizhny Novgorod
206,15-04-2023,FK SOCHI,0 - 2,Krasnodar
207,24-04-2023,Spartak M,4 - 3,Krasnodar
208,29-04-2023,Krasnodar,1 - 1,Ural
209,07-05-2023,Krasnodar,2 - 1,Krylya Samara
210,13-05-2023,Zenit St Petersburg,2 - 2,Krasnodar
211,21-05-2023,Krasnodar,3 - 0,Rostov
212,27-05-2023,Krasnodar,0 - 0,CSKA Moscow
213,03-06-2023,Terek Grozny,2 - 2,Krasnodar
214,16-07-2022,Gazovik Orenburg,2 - 4,Krylya Samara
215,22-07-2022,Zenit St Petersburg,3 - 0,Krylya Samara
216,31-07-2022,Krylya Samara,1 - 1,Torpedo Moskva
217,07-08-2022,Krylya Samara,0 - 2,Dinamo Moscow
218,13-08-2022,Lokomotiv M,1 - 1,Krylya Samara
219,19-08-2022,Krylya Samara,1 - 1,Fakel Voronezh
220,27-08-2022,Terek Grozny,1 - 2,Krylya Samara
221,04-09-2022,Krylya Samara,0 - 1,CSKA Moscow
222,10-09-2022,FC Khimki,0 - 0,Krylya Samara
223,17-09-2022,Rostov,2 - 1,Krylya Samara
224,03-10-2022,Krylya Samara,0 - 0,Krasnodar
225,09-10-2022,Spartak M,5 - 2,Krylya Samara
226,16-10-2022,Krylya Samara,2 - 0,FK SOCHI
227,24-10-2022,Ural,2 - 1,Krylya Samara
228,30-10-2022,Krylya Samara,2 - 1,Nizhny Novgorod
229,06-11-2022,Torpedo Moskva,0 - 2,Krylya Samara
230,12-11-2022,Krylya Samara,1 - 3,Rostov
231,05-03-2023,Dinamo Moscow,1 - 0,Krylya Samara
232,12-03-2023,CSKA Moscow,4 - 0,Krylya Samara
233,19-03-2023,Krylya Samara,0 - 1,Terek Grozny
234,02-04-2023,Krylya Samara,1 - 1,Gazovik Orenburg
235,09-04-2023,FK SOCHI,1 - 2,Krylya Samara
236,15-04-2023,Krylya Samara,0 - 0,FC Khimki
237,23-04-2023,Nizhny Novgorod,2 - 1,Krylya Samara
238,29-04-2023,Krylya Samara,1 - 5,Zenit St Petersburg
239,07-05-2023,Krasnodar,2 - 1,Krylya Samara
