,date,home_team,score,away_team
124,16-10-2022,Nantes,4 - 1,Brest
125,23-10-2022,Clermont,1 - 3,Brest
126,30-10-2022,Brest,0 - 0,Reims
127,06-11-2022,Nice,1 - 0,Brest
128,13-11-2022,Brest,2 - 1,Troyes
129,28-12-2022,Brest,2 - 4,Lyon
130,01-01-2023,Monaco,1 - 0,Brest
131,11-01-2023,Brest,0 - 0,Lille
132,15-01-2023,Toulouse,1 - 1,Brest
133,29-01-2023,Brest,4 - 0,Angers
134,01-02-2023,Lyon,0 - 0,Brest
135,05-02-2023,Brest,1 - 1,Lens
136,12-02-2023,Montpellier,3 - 0,Brest
137,19-02-2023,Brest,1 - 2,Monaco
138,24-02-2023,Lille,2 - 1,Brest
139,05-03-2023,Strasbourg,0 - 1,Brest
140,11-03-2023,Brest,1 - 2,Paris SG
141,19-03-2023,Troyes,2 - 2,Brest
142,02-04-2023,Brest,3 - 1,Toulouse
143,09-04-2023,Reims,1 - 1,Brest
144,16-04-2023,Brest,1 - 0,Nice
145,23-04-2023,Ajaccio,0 - 0,Brest
146,03-05-2023,Brest,2 - 0,Nantes
147,07-05-2023,Lorient,2 - 1,Brest
148,14-05-2023,Brest,1 - 0,Auxerre
149,21-05-2023,Brest,2 - 1,Clermont
150,27-05-2023,Marseille,1 - 2,Brest
151,03-06-2023,Brest,1 - 2,Rennes
152,06-08-2022,Clermont,0 - 5,Paris SG
153,14-08-2022,Reims,2 - 4,Clermont
154,21-08-2022,Clermont,1 - 0,Nice
155,28-08-2022,Lorient,2 - 1,Clermont
156,31-08-2022,Marseille,1 - 0,Clermont
157,04-09-2022,Clermont,2 - 0,Toulouse
158,11-09-2022,Strasbourg,0 - 0,Clermont
159,18-09-2022,Clermont,1 - 3,Troyes
160,02-10-2022,Ajaccio,1 - 3,Clermont
161,09-10-2022,Clermont,2 - 1,Auxerre
162,16-10-2022,Monaco,1 - 1,Clermont
163,23-10-2022,Clermont,1 - 3,Brest
164,30-10-2022,Nantes,1 - 1,Clermont
165,06-11-2022,Clermont,1 - 1,Montpellier
166,12-11-2022,Lens,2 - 1,Clermont
167,28-12-2022,Clermont,0 - 2,Lille
168,01-01-2023,Lyon,0 - 1,Clermont
169,11-01-2023,Clermont,2 - 1,Rennes
170,15-01-2023,Angers,1 - 2,Clermont
171,29-01-2023,Clermont,0 - 0,Nantes
172,01-02-2023,Lille,0 - 0,Clermont
173,05-02-2023,Clermont,0 - 2,Monaco
174,11-02-2023,Clermont,0 - 2,Marseille
175,19-02-2023,Rennes,2 - 0,Clermont
176,26-02-2023,Clermont,1 - 1,Strasbourg
177,05-03-2023,Toulouse,0 - 1,Clermont
178,12-03-2023,Clermont,0 - 4,Lens
179,19-03-2023,Montpellier,2 - 1,Clermont
180,02-04-2023,Clermont,2 - 1,Ajaccio
181,09-04-2023,Troyes,0 - 2,Clermont
182,16-04-2023,Clermont,2 - 1,Angers
183,23-04-2023,Nice,1 - 2,Clermont
184,30-04-2023,Clermont,1 - 0,Reims
185,07-05-2023,Auxerre,1 - 1,Clermont
186,14-05-2023,Clermont,2 - 1,Lyon
187,21-05-2023,Brest,2 - 1,Clermont
188,27-05-2023,Clermont,2 - 0,Lorient
189,03-06-2023,Paris SG,2 - 3,Clermont
190,07-08-2022,Lens,3 - 2,Brest
191,14-08-2022,Ajaccio,0 - 0,Lens
192,20-08-2022,Monaco,1 - 4,Lens
193,27-08-2022,Lens,2 - 1,Rennes
194,31-08-2022,Lens,5 - 2,Lorient
195,04-09-2022,Reims,1 - 1,Lens
196,09-09-2022,Lens,1 - 0,Troyes
197,18-09-2022,Nantes,0 - 0,Lens
198,02-10-2022,Lens,1 - 0,Lyon
199,09-10-2022,Lille,1 - 0,Lens
200,15-10-2022,Lens,1 - 0,Montpellier
201,22-10-2022,Marseille,0 - 1,Lens
202,28-10-2022,Lens,3 - 0,Toulouse
203,05-11-2022,Angers,1 - 2,Lens
204,12-11-2022,Lens,2 - 1,Clermont
205,29-12-2022,Nice,0 - 0,Lens
206,01-01-2023,Lens,3 - 1,Paris SG
207,11-01-2023,Strasbourg,2 - 2,Lens
208,14-01-2023,Lens,1 - 0,Auxerre
209,28-01-2023,Troyes,1 - 1,Lens
210,01-02-2023,Lens,0 - 1,Nice
211,05-02-2023,Brest,1 - 1,Lens
212,12-02-2023,Lyon,2 - 1,Lens
213,19-02-2023,Lens,3 - 1,Nantes
214,25-02-2023,Montpellier,1 - 1,Lens
215,04-03-2023,Lens,1 - 1,Lille
216,12-03-2023,Clermont,0 - 4,Lens
217,18-03-2023,Lens,3 - 0,Angers
218,01-04-2023,Rennes,0 - 1,Lens
219,07-04-2023,Lens,2 - 1,Strasbourg
220,15-04-2023,Paris SG,3 - 1,Lens
221,22-04-2023,Lens,3 - 0,Monaco
222,02-05-2023,Toulouse,0 - 1,Lens
223,06-05-2023,Lens,2 - 1,Marseille
224,12-05-2023,Lens,2 - 1,Reims
225,21-05-2023,Lorient,1 - 3,Lens
226,27-05-2023,Lens,3 - 0,Ajaccio
227,03-06-2023,Auxerre,1 - 3,Lens
228,07-08-2022,Lille,4 - 1,Auxerre
229,12-08-2022,Nantes,1 - 1,Lille
230,21-08-2022,Lille,1 - 7,Paris SG
231,26-08-2022,Ajaccio,1 - 3,Lille
232,31-08-2022,Lille,1 - 2,Nice
233,04-09-2022,Montpellier,1 - 3,Lille
234,10-09-2022,Marseille,2 - 1,Lille
235,17-09-2022,Lille,2 - 1,Toulouse
236,02-10-2022,Lorient,2 - 1,Lille
237,09-10-2022,Lille,1 - 0,Lens
238,14-10-2022,Strasbourg,0 - 3,Lille
239,23-10-2022,Lille,4 - 3,Monaco
240,30-10-2022,Lyon,1 - 0,Lille
241,06-11-2022,Lille,1 - 1,Rennes
242,13-11-2022,Lille,1 - 0,Angers
243,28-12-2022,Clermont,0 - 2,Lille
244,02-01-2023,Lille,1 - 1,Reims
245,11-01-2023,Brest,0 - 0,Lille
246,15-01-2023,Lille,5 - 1,Troyes
247,29-01-2023,Nice,1 - 0,Lille
248,01-02-2023,Lille,0 - 0,Clermont
249,04-02-2023,Rennes,1 - 3,Lille
250,12-02-2023,Lille,2 - 0,Strasbourg
251,19-02-2023,Paris SG,4 - 3,Lille
252,24-02-2023,Lille,2 - 1,Brest
253,04-03-2023,Lens,1 - 1,Lille
254,10-03-2023,Lille,3 - 3,Lyon
255,18-03-2023,Toulouse,0 - 2,Lille
256,02-04-2023,Lille,3 - 1,Lorient
257,08-04-2023,Angers,1 - 0,Lille
258,16-04-2023,Lille,2 - 1,Montpellier
259,22-04-2023,Auxerre,1 - 1,Lille
260,29-04-2023,Lille,3 - 0,Ajaccio
261,06-05-2023,Reims,1 - 0,Lille
262,14-05-2023,Monaco,0 - 0,Lille
263,20-05-2023,Lille,2 - 1,Marseille
