,date,home_team,score,away_team
108,28-08-2022,Excelsior,1 - 6,PSV Eindhoven
109,31-08-2022,Twente,4 - 0,Excelsior
110,04-09-2022,Waalwijk,5 - 2,Excelsior
111,10-09-2022,Excelsior,2 - 1,FC Emmen
112,17-09-2022,Fortuna Sittard,1 - 0,Excelsior
113,02-10-2022,Excelsior,0 - 1,Utrecht
114,08-10-2022,NEC Nijmegen,1 - 1,Excelsior
115,16-10-2022,Ajax,7 - 1,Excelsior
116,23-10-2022,Excelsior,2 - 1,AZ Alkmaar
117,29-10-2022,GO Ahead Eagles,3 - 1,Excelsior
118,05-11-2022,Excelsior,0 - 1,Heerenveen
119,13-11-2022,Feyenoord,5 - 1,Excelsior
120,08-01-2023,Excelsior,1 - 0,Groningen
121,14-01-2023,Sparta Rotterdam,1 - 0,Excelsior
122,20-01-2023,Excelsior,2 - 0,FC Volendam
123,25-01-2023,Utrecht,1 - 0,Excelsior
124,29-01-2023,Excelsior,1 - 4,Ajax
125,04-02-2023,Excelsior,0 - 0,Waalwijk
126,10-02-2023,AZ Alkmaar,5 - 0,Excelsior
127,19-02-2023,Excelsior,0 - 3,NEC Nijmegen
128,25-02-2023,Groningen,3 - 0,Excelsior
129,05-03-2023,Excelsior,1 - 4,Sparta Rotterdam
130,11-03-2023,FC Emmen,2 - 0,Excelsior
131,19-03-2023,Excelsior,4 - 1,Cambuur
132,01-04-2023,Excelsior,0 - 0,Twente
133,08-04-2023,PSV Eindhoven,4 - 0,Excelsior
134,14-04-2023,Excelsior,2 - 1,GO Ahead Eagles
135,22-04-2023,Vitesse,0 - 0,Excelsior
136,07-05-2023,Excelsior,0 - 2,Feyenoord
137,13-05-2023,Heerenveen,0 - 0,Excelsior
138,21-05-2023,Excelsior,3 - 0,Fortuna Sittard
139,28-05-2023,FC Volendam,3 - 2,Excelsior
140,22-05-2023,FC Eindhoven,1 - 0,Almere City FC
141,06-08-2022,PSV Eindhoven,4 - 1,FC Emmen
142,13-08-2022,FC Emmen,1 - 1,Waalwijk
143,20-08-2022,FC Emmen,3 - 2,Utrecht
144,27-08-2022,Feyenoord,4 - 0,FC Emmen
145,04-09-2022,FC Emmen,0 - 3,AZ Alkmaar
146,10-09-2022,Excelsior,2 - 1,FC Emmen
147,18-09-2022,GO Ahead Eagles,2 - 0,FC Emmen
148,02-10-2022,FC Emmen,0 - 0,Heerenveen
149,08-10-2022,Sparta Rotterdam,3 - 1,FC Emmen
150,14-10-2022,FC Emmen,1 - 1,FC Volendam
151,22-10-2022,Vitesse,2 - 1,FC Emmen
152,30-10-2022,FC Emmen,0 - 0,Groningen
153,05-11-2022,Fortuna Sittard,0 - 1,FC Emmen
154,12-11-2022,FC Emmen,3 - 3,Ajax
155,06-01-2023,Twente,2 - 0,FC Emmen
156,15-01-2023,FC Emmen,0 - 0,Cambuur
157,21-01-2023,NEC Nijmegen,3 - 1,FC Emmen
158,24-01-2023,FC Emmen,1 - 0,PSV Eindhoven
159,28-01-2023,Waalwijk,2 - 0,FC Emmen
160,04-02-2023,FC Emmen,2 - 2,Vitesse
161,11-02-2023,FC Emmen,0 - 1,Fortuna Sittard
162,18-02-2023,Groningen,1 - 1,FC Emmen
163,26-02-2023,FC Emmen,2 - 2,GO Ahead Eagles
164,04-03-2023,FC Volendam,3 - 1,FC Emmen
165,11-03-2023,FC Emmen,2 - 0,Excelsior
166,18-03-2023,FC Emmen,0 - 2,Sparta Rotterdam
167,01-04-2023,Cambuur,1 - 2,FC Emmen
168,09-04-2023,FC Emmen,0 - 0,NEC Nijmegen
169,16-04-2023,Ajax,3 - 1,FC Emmen
170,22-04-2023,Heerenveen,2 - 3,FC Emmen
171,07-05-2023,FC Emmen,0 - 3,Twente
172,14-05-2023,AZ Alkmaar,5 - 1,FC Emmen
173,21-05-2023,FC Emmen,1 - 3,Feyenoord
174,28-05-2023,Utrecht,3 - 2,FC Emmen
175,31-05-2023,NAC Breda,1 - 2,FC Emmen
176,03-06-2023,FC Emmen,2 - 0,NAC Breda
177,06-06-2023,Almere City FC,2 - 0,FC Emmen
178,11-06-2023,FC Emmen,1 - 2,Almere City FC
179,07-08-2022,Groningen,2 - 2,FC Volendam
180,14-08-2022,FC Volendam,1 - 4,NEC Nijmegen
181,28-08-2022,FC Volendam,1 - 0,Twente
182,31-08-2022,PSV Eindhoven,7 - 1,FC Volendam
183,03-09-2022,Sparta Rotterdam,4 - 0,FC Volendam
184,09-09-2022,FC Volendam,2 - 3,GO Ahead Eagles
185,17-09-2022,Vitesse,1 - 1,FC Volendam
186,02-10-2022,Fortuna Sittard,2 - 0,FC Volendam
187,08-10-2022,FC Volendam,2 - 4,Ajax
188,14-10-2022,FC Emmen,1 - 1,FC Volendam
189,23-10-2022,FC Volendam,1 - 3,Heerenveen
190,30-10-2022,AZ Alkmaar,2 - 1,FC Volendam
191,06-11-2022,FC Volendam,0 - 2,Feyenoord
192,12-11-2022,FC Volendam,0 - 4,Utrecht
193,08-01-2023,Cambuur,0 - 3,FC Volendam
194,14-01-2023,FC Volendam,2 - 1,Waalwijk
195,20-01-2023,Excelsior,2 - 0,FC Volendam
196,26-01-2023,Ajax,1 - 1,FC Volendam
197,29-01-2023,FC Volendam,3 - 2,Groningen
198,04-02-2023,FC Volendam,1 - 1,AZ Alkmaar
199,12-02-2023,Twente,3 - 0,FC Volendam
200,18-02-2023,FC Volendam,2 - 0,Vitesse
201,25-02-2023,NEC Nijmegen,3 - 0,FC Volendam
202,04-03-2023,FC Volendam,3 - 1,FC Emmen
203,12-03-2023,Feyenoord,2 - 1,FC Volendam
204,17-03-2023,FC Volendam,2 - 1,Fortuna Sittard
205,02-04-2023,Utrecht,0 - 0,FC Volendam
206,08-04-2023,Heerenveen,2 - 1,FC Volendam
207,16-04-2023,FC Volendam,2 - 3,PSV Eindhoven
208,21-04-2023,FC Volendam,2 - 0,Cambuur
209,05-05-2023,Waalwijk,4 - 1,FC Volendam
210,13-05-2023,FC Volendam,2 - 1,Sparta Rotterdam
211,21-05-2023,GO Ahead Eagles,3 - 0,FC Volendam
212,28-05-2023,FC Volendam,3 - 2,Excelsior
213,07-08-2022,Vitesse,2 - 5,Feyenoord
214,13-08-2022,Feyenoord,0 - 0,Heerenveen
215,21-08-2022,Waalwijk,0 - 1,Feyenoord
216,27-08-2022,Feyenoord,4 - 0,FC Emmen
217,03-09-2022,GO Ahead Eagles,3 - 4,Feyenoord
218,11-09-2022,Feyenoord,3 - 0,Sparta Rotterdam
219,18-09-2022,PSV Eindhoven,4 - 3,Feyenoord
220,02-10-2022,NEC Nijmegen,1 - 1,Feyenoord
221,09-10-2022,Feyenoord,2 - 0,Twente
222,16-10-2022,AZ Alkmaar,1 - 3,Feyenoord
223,22-10-2022,Feyenoord,1 - 1,Fortuna Sittard
224,06-11-2022,FC Volendam,0 - 2,Feyenoord
225,10-11-2022,Feyenoord,1 - 0,Cambuur
226,13-11-2022,Feyenoord,5 - 1,Excelsior
227,08-01-2023,Utrecht,1 - 1,Feyenoord
228,15-01-2023,Groningen,0 - 3,Feyenoord
229,22-01-2023,Feyenoord,1 - 1,Ajax
230,25-01-2023,Feyenoord,2 - 0,NEC Nijmegen
231,29-01-2023,Twente,1 - 1,Feyenoord
232,05-02-2023,Feyenoord,2 - 2,PSV Eindhoven
233,12-02-2023,Heerenveen,1 - 2,Feyenoord
234,18-02-2023,Feyenoord,2 - 1,AZ Alkmaar
235,26-02-2023,Fortuna Sittard,2 - 4,Feyenoord
236,04-03-2023,Feyenoord,1 - 0,Groningen
237,12-03-2023,Feyenoord,2 - 1,FC Volendam
238,19-03-2023,Ajax,2 - 3,Feyenoord
239,02-04-2023,Sparta Rotterdam,1 - 3,Feyenoord
240,09-04-2023,Feyenoord,5 - 1,Waalwijk
241,16-04-2023,Cambuur,0 - 3,Feyenoord
242,23-04-2023,Feyenoord,3 - 1,Utrecht
243,07-05-2023,Excelsior,0 - 2,Feyenoord
244,14-05-2023,Feyenoord,3 - 0,GO Ahead Eagles
245,21-05-2023,FC Emmen,1 - 3,Feyenoord
246,28-05-2023,Feyenoord,0 - 1,Vitesse
247,06-08-2022,Fortuna Sittard,2 - 3,Ajax
248,14-08-2022,Twente,3 - 0,Fortuna Sittard
249,20-08-2022,Fortuna Sittard,1 - 4,Cambuur
250,27-08-2022,Heerenveen,2 - 1,Fortuna Sittard
251,02-09-2022,Fortuna Sittard,3 - 4,Utrecht
252,10-09-2022,NEC Nijmegen,1 - 1,Fortuna Sittard
253,17-09-2022,Fortuna Sittard,1 - 0,Excelsior
254,02-10-2022,Fortuna Sittard,2 - 0,FC Volendam
255,09-10-2022,Vitesse,1 - 2,Fortuna Sittard
256,15-10-2022,Fortuna Sittard,0 - 0,Waalwijk
257,22-10-2022,Feyenoord,1 - 1,Fortuna Sittard
258,29-10-2022,Sparta Rotterdam,3 - 1,Fortuna Sittard
259,05-11-2022,Fortuna Sittard,0 - 1,FC Emmen
260,13-11-2022,Groningen,2 - 3,Fortuna Sittard
261,07-01-2023,Fortuna Sittard,0 - 2,GO Ahead Eagles
262,15-01-2023,Fortuna Sittard,2 - 2,PSV Eindhoven
263,22-01-2023,AZ Alkmaar,3 - 1,Fortuna Sittard
264,25-01-2023,Fortuna Sittard,2 - 0,Heerenveen
265,29-01-2023,Cambuur,1 - 2,Fortuna Sittard
266,03-02-2023,Fortuna Sittard,0 - 0,Sparta Rotterdam
267,11-02-2023,FC Emmen,0 - 1,Fortuna Sittard
268,17-02-2023,Waalwijk,3 - 1,Fortuna Sittard
269,26-02-2023,Fortuna Sittard,2 - 4,Feyenoord
270,03-03-2023,Utrecht,1 - 2,Fortuna Sittard
271,11-03-2023,Fortuna Sittard,0 - 3,Twente
272,17-03-2023,FC Volendam,2 - 1,Fortuna Sittard
273,02-04-2023,Fortuna Sittard,3 - 1,Groningen
274,09-04-2023,Ajax,4 - 0,Fortuna Sittard
275,16-04-2023,Fortuna Sittard,0 - 3,AZ Alkmaar
276,23-04-2023,GO Ahead Eagles,2 - 0,Fortuna Sittard
277,07-05-2023,Fortuna Sittard,2 - 0,Vitesse
278,14-05-2023,PSV Eindhoven,2 - 1,Fortuna Sittard
279,21-05-2023,Excelsior,3 - 0,Fortuna Sittard
280,28-05-2023,Fortuna Sittard,1 - 1,NEC Nijmegen
281,07-08-2022,AZ Alkmaar,2 - 0,GO Ahead Eagles
282,13-08-2022,GO Ahead Eagles,2 - 5,PSV Eindhoven
283,21-08-2022,Groningen,1 - 0,GO Ahead Eagles
284,27-08-2022,GO Ahead Eagles,0 - 1,Sparta Rotterdam
285,03-09-2022,GO Ahead Eagles,3 - 4,Feyenoord
286,09-09-2022,FC Volendam,2 - 3,GO Ahead Eagles
287,18-09-2022,GO Ahead Eagles,2 - 0,FC Emmen
288,01-10-2022,Ajax,1 - 1,GO Ahead Eagles
289,09-10-2022,GO Ahead Eagles,0 - 0,Cambuur
290,15-10-2022,GO Ahead Eagles,1 - 1,Heerenveen
