,date,home_team,score,away_team
101,03-06-2023,Kayserispor,0 - 1,Ankaragucu
102,07-06-2023,Ankaragucu,1 - 2,Adana Demirspor
103,07-08-2022,Antalyaspor,0 - 1,Galatasaray
104,14-08-2022,Ümraniyespor,0 - 1,Antalyaspor
105,20-08-2022,Antalyaspor,5 - 2,Trabzonspor
106,26-08-2022,Gaziantep BBK,5 - 2,Antalyaspor
107,04-09-2022,Antalyaspor,0 - 2,Kasimpasa
108,11-09-2022,Kayserispor,1 - 0,Antalyaspor
109,17-09-2022,Antalyaspor,0 - 3,Adana Demirspor
110,08-10-2022,Antalyaspor,1 - 1,Konyaspor
111,14-10-2022,Alanyaspor,3 - 2,Antalyaspor
112,21-10-2022,Antalyaspor,2 - 1,İstanbulspor
113,31-10-2022,Sivasspor,0 - 2,Antalyaspor
114,06-11-2022,Antalyaspor,4 - 2,Fatih Karagümrük
115,23-12-2022,Antalyaspor,0 - 2,Ankaragucu
116,27-12-2022,Buyuksehyr,2 - 0,Antalyaspor
117,03-01-2023,Antalyaspor,1 - 2,Fenerbahce
118,07-01-2023,Hatayspor,0 - 0,Antalyaspor
119,14-01-2023,Antalyaspor,2 - 2,Giresunspor
120,21-01-2023,Galatasaray,2 - 1,Antalyaspor
121,28-01-2023,Antalyaspor,3 - 2,Ümraniyespor
122,01-02-2023,Trabzonspor,2 - 0,Antalyaspor
123,04-02-2023,Antalyaspor,1 - 0,Gaziantep BBK
124,26-02-2023,Besiktas,0 - 0,Antalyaspor
125,06-03-2023,Kasimpasa,3 - 1,Antalyaspor
126,11-03-2023,Antalyaspor,4 - 0,Kayserispor
127,18-03-2023,Adana Demirspor,2 - 0,Antalyaspor
128,07-04-2023,Konyaspor,1 - 1,Antalyaspor
129,14-04-2023,Antalyaspor,3 - 1,Alanyaspor
130,19-04-2023,İstanbulspor,3 - 3,Antalyaspor
131,24-04-2023,Antalyaspor,1 - 2,Sivasspor
132,29-04-2023,Fatih Karagümrük,0 - 1,Antalyaspor
133,06-05-2023,Antalyaspor,1 - 3,Besiktas
134,17-05-2023,Ankaragucu,1 - 1,Antalyaspor
135,21-05-2023,Antalyaspor,0 - 0,Buyuksehyr
136,30-05-2023,Fenerbahce,2 - 0,Antalyaspor
137,03-06-2023,Antalyaspor,3 - 0,Hatayspor
138,07-06-2023,Giresunspor,2 - 0,Antalyaspor
139,06-08-2022,Besiktas,1 - 0,Kayserispor
140,14-08-2022,Alanyaspor,3 - 3,Besiktas
141,21-08-2022,Besiktas,4 - 1,Fatih Karagümrük
142,29-08-2022,Besiktas,3 - 1,Sivasspor
143,04-09-2022,Ankaragucu,2 - 3,Besiktas
144,12-09-2022,Besiktas,0 - 1,Buyuksehyr
145,17-09-2022,İstanbulspor,2 - 2,Besiktas
146,02-10-2022,Besiktas,0 - 0,Fenerbahce
147,08-10-2022,Giresunspor,0 - 1,Besiktas
148,16-10-2022,Besiktas,2 - 2,Trabzonspor
149,24-10-2022,Hatayspor,2 - 1,Besiktas
150,30-10-2022,Besiktas,5 - 2,Ümraniyespor
151,05-11-2022,Galatasaray,2 - 1,Besiktas
152,25-12-2022,Gaziantep BBK,1 - 1,Besiktas
153,29-12-2022,Besiktas,1 - 0,Adana Demirspor
154,07-01-2023,Besiktas,2 - 1,Kasimpasa
155,14-01-2023,Konyaspor,1 - 2,Besiktas
156,22-01-2023,Kayserispor,0 - 2,Besiktas
157,27-01-2023,Besiktas,3 - 0,Alanyaspor
158,31-01-2023,Fatih Karagümrük,1 - 1,Besiktas
159,04-02-2023,Sivasspor,1 - 0,Besiktas
160,26-02-2023,Besiktas,0 - 0,Antalyaspor
161,05-03-2023,Besiktas,2 - 1,Ankaragucu
162,12-03-2023,Buyuksehyr,0 - 2,Besiktas
163,18-03-2023,Besiktas,3 - 1,İstanbulspor
164,02-04-2023,Fenerbahce,2 - 4,Besiktas
165,09-04-2023,Besiktas,3 - 1,Giresunspor
166,16-04-2023,Trabzonspor,0 - 0,Besiktas
167,22-04-2023,Ümraniyespor,0 - 2,Besiktas
168,30-04-2023,Besiktas,3 - 1,Galatasaray
169,06-05-2023,Antalyaspor,1 - 3,Besiktas
170,21-05-2023,Adana Demirspor,1 - 4,Besiktas
171,03-06-2023,Kasimpasa,2 - 5,Besiktas
172,07-06-2023,Besiktas,3 - 3,Konyaspor
173,08-08-2022,Buyuksehyr,4 - 0,Kasimpasa
174,15-08-2022,Konyaspor,0 - 0,Buyuksehyr
175,21-08-2022,Buyuksehyr,2 - 0,Kayserispor
176,03-09-2022,Buyuksehyr,2 - 0,Alanyaspor
177,12-09-2022,Besiktas,0 - 1,Buyuksehyr
178,18-09-2022,Buyuksehyr,0 - 0,Fatih Karagümrük
179,01-10-2022,Ankaragucu,1 - 2,Buyuksehyr
180,10-10-2022,Buyuksehyr,0 - 2,Sivasspor
181,16-10-2022,Buyuksehyr,2 - 0,İstanbulspor
182,22-10-2022,Fenerbahce,1 - 0,Buyuksehyr
183,31-10-2022,Buyuksehyr,3 - 1,Giresunspor
184,07-11-2022,Hatayspor,3 - 3,Buyuksehyr
185,12-11-2022,Buyuksehyr,0 - 7,Galatasaray
186,23-12-2022,Ümraniyespor,1 - 3,Buyuksehyr
187,27-12-2022,Buyuksehyr,2 - 0,Antalyaspor
188,05-01-2023,Gaziantep BBK,1 - 1,Buyuksehyr
189,09-01-2023,Buyuksehyr,2 - 1,Adana Demirspor
190,14-01-2023,Trabzonspor,1 - 0,Buyuksehyr
191,21-01-2023,Kasimpasa,1 - 3,Buyuksehyr
192,29-01-2023,Buyuksehyr,2 - 0,Konyaspor
193,02-02-2023,Kayserispor,1 - 0,Buyuksehyr
194,03-03-2023,Alanyaspor,1 - 0,Buyuksehyr
195,12-03-2023,Buyuksehyr,0 - 2,Besiktas
196,19-03-2023,Fatih Karagümrük,2 - 2,Buyuksehyr
197,01-04-2023,Buyuksehyr,1 - 0,Ankaragucu
198,09-04-2023,Sivasspor,1 - 1,Buyuksehyr
199,15-04-2023,İstanbulspor,1 - 0,Buyuksehyr
200,19-04-2023,Buyuksehyr,1 - 2,Fenerbahce
201,24-04-2023,Giresunspor,2 - 4,Buyuksehyr
202,08-05-2023,Galatasaray,1 - 0,Buyuksehyr
203,17-05-2023,Buyuksehyr,1 - 1,Ümraniyespor
204,21-05-2023,Antalyaspor,0 - 0,Buyuksehyr
205,03-06-2023,Adana Demirspor,2 - 3,Buyuksehyr
206,06-06-2023,Buyuksehyr,3 - 1,Trabzonspor
207,07-08-2022,Fatih Karagümrük,2 - 4,Alanyaspor
208,21-08-2022,Besiktas,4 - 1,Fatih Karagümrük
209,27-08-2022,Fatih Karagümrük,4 - 1,Ankaragucu
210,03-09-2022,Sivasspor,0 - 0,Fatih Karagümrük
211,10-09-2022,Fatih Karagümrük,1 - 1,Giresunspor
212,18-09-2022,Buyuksehyr,0 - 0,Fatih Karagümrük
213,03-10-2022,Fatih Karagümrük,1 - 2,İstanbulspor
214,09-10-2022,Fenerbahce,5 - 4,Fatih Karagümrük
215,15-10-2022,Fatih Karagümrük,3 - 0,Hatayspor
216,22-10-2022,Ümraniyespor,1 - 3,Fatih Karagümrük
217,28-10-2022,Fatih Karagümrük,0 - 2,Galatasaray
218,06-11-2022,Antalyaspor,4 - 2,Fatih Karagümrük
219,13-11-2022,Fatih Karagümrük,3 - 3,Gaziantep BBK
220,25-12-2022,Adana Demirspor,2 - 1,Fatih Karagümrük
221,28-12-2022,Fatih Karagümrük,4 - 1,Trabzonspor
222,04-01-2023,Kayserispor,2 - 4,Fatih Karagümrük
223,08-01-2023,Fatih Karagümrük,3 - 3,Konyaspor
224,15-01-2023,Kasimpasa,2 - 2,Fatih Karagümrük
225,22-01-2023,Alanyaspor,2 - 2,Fatih Karagümrük
226,31-01-2023,Fatih Karagümrük,1 - 1,Besiktas
227,04-02-2023,Ankaragucu,0 - 2,Fatih Karagümrük
228,04-03-2023,Fatih Karagümrük,4 - 3,Sivasspor
229,10-03-2023,Giresunspor,2 - 2,Fatih Karagümrük
230,19-03-2023,Fatih Karagümrük,2 - 2,Buyuksehyr
231,03-04-2023,İstanbulspor,0 - 1,Fatih Karagümrük
232,10-04-2023,Fatih Karagümrük,1 - 2,Fenerbahce
233,18-04-2023,Fatih Karagümrük,4 - 2,Ümraniyespor
234,23-04-2023,Galatasaray,3 - 3,Fatih Karagümrük
235,29-04-2023,Fatih Karagümrük,0 - 1,Antalyaspor
236,17-05-2023,Fatih Karagümrük,2 - 3,Adana Demirspor
