,date,home_team,score,away_team
118,14-08-2022,Hearts,4 - 1,Dundee United
119,21-08-2022,Celtic,2 - 0,Hearts
120,28-08-2022,Hearts,3 - 2,St Johnstone
121,03-09-2022,Livingston,1 - 0,Hearts
122,18-09-2022,Motherwell,0 - 3,Hearts
123,01-10-2022,Hearts,0 - 4,Rangers
124,09-10-2022,Kilmarnock,2 - 2,Hearts
125,16-10-2022,Aberdeen,2 - 0,Hearts
126,22-10-2022,Hearts,3 - 4,Celtic
127,30-10-2022,Ross County,1 - 2,Hearts
128,06-11-2022,Hearts,3 - 2,Motherwell
129,09-11-2022,Rangers,1 - 0,Hearts
130,12-11-2022,Hearts,1 - 1,Livingston
131,17-12-2022,Hearts,3 - 1,Kilmarnock
132,24-12-2022,Dundee United,2 - 2,Hearts
133,28-12-2022,St Johnstone,2 - 3,Hearts
134,02-01-2023,Hearts,3 - 0,Hibernian
135,07-01-2023,St Mirren,1 - 1,Hearts
136,13-01-2023,Hearts,1 - 0,St Mirren
137,18-01-2023,Hearts,5 - 0,Aberdeen
138,29-01-2023,Livingston,0 - 0,Hearts
139,01-02-2023,Hearts,0 - 3,Rangers
140,04-02-2023,Hearts,3 - 1,Dundee United
141,19-02-2023,Motherwell,2 - 0,Hearts
142,04-03-2023,Hearts,3 - 0,St Johnstone
143,08-03-2023,Celtic,3 - 1,Hearts
144,18-03-2023,Aberdeen,3 - 0,Hearts
145,01-04-2023,Kilmarnock,2 - 1,Hearts
146,08-04-2023,Hearts,0 - 2,St Mirren
147,15-04-2023,Hibernian,1 - 0,Hearts
148,22-04-2023,Hearts,6 - 1,Ross County
149,07-05-2023,Hearts,0 - 2,Celtic
150,13-05-2023,St Mirren,2 - 2,Hearts
151,20-05-2023,Hearts,2 - 1,Aberdeen
152,24-05-2023,Rangers,2 - 2,Hearts
153,27-05-2023,Hearts,1 - 1,Hibernian
154,30-07-2022,St Johnstone,0 - 1,Hibernian
155,07-08-2022,Hibernian,1 - 1,Hearts
156,13-08-2022,Livingston,2 - 1,Hibernian
157,20-08-2022,Hibernian,2 - 2,Rangers
158,27-08-2022,St Mirren,1 - 0,Hibernian
159,03-09-2022,Hibernian,1 - 0,Kilmarnock
160,17-09-2022,Hibernian,3 - 1,Aberdeen
161,01-10-2022,Ross County,0 - 2,Hibernian
162,08-10-2022,Hibernian,1 - 0,Motherwell
163,11-10-2022,Dundee United,1 - 0,Hibernian
164,15-10-2022,Celtic,6 - 1,Hibernian
165,21-10-2022,Hibernian,1 - 2,St Johnstone
166,29-10-2022,Hibernian,3 - 0,St Mirren
167,04-11-2022,Aberdeen,4 - 1,Hibernian
168,08-11-2022,Hibernian,0 - 2,Ross County
