,date,home_team,score,away_team
109,23-10-2022,AGF Aarhus,2 - 2,Brondby
110,30-10-2022,Brondby,3 - 2,AaB
111,06-11-2022,Odense BK,1 - 1,Brondby
112,13-11-2022,Brondby,0 - 2,Viborg
113,19-02-2023,Brondby,5 - 2,AC Horsens
114,27-02-2023,Midtjylland,0 - 1,Brondby
115,05-03-2023,Lyngby Boldklub,1 - 0,Brondby
116,12-03-2023,Brondby,2 - 1,Silkeborg IF
117,19-03-2023,FC Nordsjaelland,2 - 1,Brondby
118,02-04-2023,Brondby,0 - 3,Viborg
119,10-04-2023,FC Nordsjaelland,2 - 1,Brondby
120,16-04-2023,Brondby,1 - 0,AGF Aarhus
121,23-04-2023,Brondby,0 - 4,Randers FC
122,30-04-2023,FC Copenhagen,0 - 1,Brondby
123,07-05-2023,Randers FC,1 - 3,Brondby
124,14-05-2023,Brondby,1 - 3,FC Copenhagen
125,21-05-2023,Viborg,1 - 1,Brondby
126,29-05-2023,Brondby,5 - 1,FC Nordsjaelland
127,04-06-2023,AGF Aarhus,3 - 3,Brondby
128,17-07-2022,FC Copenhagen,0 - 1,AC Horsens
129,24-07-2022,AaB,1 - 3,FC Copenhagen
130,31-07-2022,Viborg,4 - 2,FC Copenhagen
131,07-08-2022,FC Copenhagen,4 - 1,Brondby
132,12-08-2022,FC Copenhagen,1 - 3,Randers FC
133,19-08-2022,Lyngby Boldklub,0 - 3,FC Copenhagen
134,28-08-2022,FC Nordsjaelland,3 - 1,FC Copenhagen
135,02-09-2022,FC Copenhagen,1 - 0,Silkeborg IF
136,10-09-2022,Odense BK,2 - 1,FC Copenhagen
137,18-09-2022,Midtjylland,2 - 1,FC Copenhagen
138,02-10-2022,FC Copenhagen,1 - 0,AGF Aarhus
139,08-10-2022,FC Copenhagen,1 - 1,FC Nordsjaelland
140,16-10-2022,Brondby,1 - 1,FC Copenhagen
141,22-10-2022,FC Copenhagen,1 - 1,Midtjylland
142,29-10-2022,Randers FC,0 - 2,FC Copenhagen
143,06-11-2022,FC Copenhagen,3 - 0,Lyngby Boldklub
144,13-11-2022,AGF Aarhus,0 - 2,FC Copenhagen
145,19-02-2023,Silkeborg IF,0 - 3,FC Copenhagen
146,26-02-2023,FC Copenhagen,1 - 0,AaB
147,05-03-2023,FC Copenhagen,7 - 0,Odense BK
148,12-03-2023,AC Horsens,1 - 4,FC Copenhagen
149,19-03-2023,FC Copenhagen,2 - 1,Viborg
150,02-04-2023,FC Copenhagen,2 - 1,FC Nordsjaelland
151,10-04-2023,Randers FC,1 - 0,FC Copenhagen
152,16-04-2023,FC Copenhagen,2 - 1,Viborg
153,23-04-2023,AGF Aarhus,0 - 0,FC Copenhagen
154,30-04-2023,FC Copenhagen,0 - 1,Brondby
155,08-05-2023,FC Nordsjaelland,3 - 2,FC Copenhagen
156,14-05-2023,Brondby,1 - 3,FC Copenhagen
157,21-05-2023,FC Copenhagen,4 - 3,AGF Aarhus
158,29-05-2023,Viborg,1 - 2,FC Copenhagen
159,04-06-2023,FC Copenhagen,1 - 1,Randers FC
160,18-07-2022,Odense BK,0 - 2,FC Nordsjaelland
161,24-07-2022,Brondby,1 - 3,FC Nordsjaelland
162,01-08-2022,FC Nordsjaelland,2 - 1,Lyngby Boldklub
163,06-08-2022,FC Nordsjaelland,1 - 0,Viborg
164,14-08-2022,AaB,0 - 0,FC Nordsjaelland
165,21-08-2022,FC Nordsjaelland,0 - 2,Silkeborg IF
166,28-08-2022,FC Nordsjaelland,3 - 1,FC Copenhagen
167,05-09-2022,AGF Aarhus,2 - 3,FC Nordsjaelland
168,11-09-2022,FC Nordsjaelland,1 - 1,Midtjylland
169,16-09-2022,AC Horsens,1 - 0,FC Nordsjaelland
170,03-10-2022,FC Nordsjaelland,3 - 1,Randers FC
