,date,home_team,score,away_team
103,21-11-2021,Minai,2 - 2,Inhulets
104,28-11-2021,Inhulets,0 - 1,Shakhtar Donetsk
105,05-12-2021,Zorya Luhansk,1 - 0,Inhulets
106,10-12-2021,Inhulets,2 - 1,Desna
107,24-07-2021,Veres Rivne,0 - 0,Kolos Kovalivka
108,30-07-2021,Kolos Kovalivka,1 - 0,Metalist 1925 Kharkiv
109,15-08-2021,Kolos Kovalivka,1 - 1,Rukh Vynnyky
110,22-08-2021,Kolos Kovalivka,0 - 1,Oleksandria
111,28-08-2021,Dynamo Kyiv,7 - 0,Kolos Kovalivka
112,12-09-2021,Kolos Kovalivka,1 - 3,FC Mariupol
113,18-09-2021,Inhulets,0 - 2,Kolos Kovalivka
114,24-09-2021,Kolos Kovalivka,0 - 1,Vorskla Poltava
115,02-10-2021,Kolos Kovalivka,2 - 1,Chornomorets
116,16-10-2021,Dnipro-1,2 - 0,Kolos Kovalivka
117,24-10-2021,Zorya Luhansk,1 - 0,Kolos Kovalivka
118,31-10-2021,Kolos Kovalivka,0 - 1,Lviv
119,07-11-2021,Kolos Kovalivka,1 - 3,Shakhtar Donetsk
120,21-11-2021,Desna,0 - 1,Kolos Kovalivka
121,24-11-2021,Minai,1 - 1,Kolos Kovalivka
122,28-11-2021,Kolos Kovalivka,1 - 0,Veres Rivne
123,04-12-2021,Metalist 1925 Kharkiv,0 - 1,Kolos Kovalivka
124,12-12-2021,Kolos Kovalivka,2 - 1,Minai
125,23-07-2021,Lviv,1 - 1,FC Mariupol
126,30-07-2021,Lviv,0 - 3,Shakhtar Donetsk
127,08-08-2021,Vorskla Poltava,4 - 1,Lviv
128,15-08-2021,Lviv,1 - 1,Oleksandria
129,23-08-2021,Lviv,1 - 2,Inhulets
130,29-08-2021,Rukh Vynnyky,1 - 0,Lviv
131,13-09-2021,Veres Rivne,1 - 0,Lviv
132,19-09-2021,Lviv,0 - 0,Metalist 1925 Kharkiv
133,26-09-2021,Minai,1 - 2,Lviv
134,02-10-2021,Lviv,0 - 1,Dnipro-1
135,16-10-2021,Lviv,1 - 4,Dynamo Kyiv
136,23-10-2021,Chornomorets,1 - 1,Lviv
137,31-10-2021,Kolos Kovalivka,0 - 1,Lviv
138,07-11-2021,Lviv,0 - 2,Desna
139,20-11-2021,Lviv,2 - 1,Zorya Luhansk
140,26-11-2021,FC Mariupol,0 - 1,Lviv
141,03-12-2021,Shakhtar Donetsk,6 - 1,Lviv
142,11-12-2021,Lviv,1 - 1,Vorskla Poltava
143,25-07-2021,Metalist 1925 Kharkiv,2 - 1,Rukh Vynnyky
144,30-07-2021,Kolos Kovalivka,1 - 0,Metalist 1925 Kharkiv
145,06-08-2021,Metalist 1925 Kharkiv,3 - 2,Chornomorets
146,13-08-2021,Shakhtar Donetsk,2 - 0,Metalist 1925 Kharkiv
147,20-08-2021,Vorskla Poltava,2 - 0,Metalist 1925 Kharkiv
148,28-08-2021,Metalist 1925 Kharkiv,1 - 2,Dnipro-1
149,11-09-2021,Metalist 1925 Kharkiv,0 - 2,Dynamo Kyiv
150,19-09-2021,Lviv,0 - 0,Metalist 1925 Kharkiv
151,26-09-2021,Desna,1 - 2,Metalist 1925 Kharkiv
152,03-10-2021,Metalist 1925 Kharkiv,1 - 0,Minai
153,16-10-2021,FC Mariupol,1 - 2,Metalist 1925 Kharkiv
154,22-10-2021,Metalist 1925 Kharkiv,4 - 0,Inhulets
155,31-10-2021,Metalist 1925 Kharkiv,1 - 6,Zorya Luhansk
156,05-11-2021,Oleksandria,2 - 0,Metalist 1925 Kharkiv
157,22-11-2021,Veres Rivne,2 - 0,Metalist 1925 Kharkiv
158,28-11-2021,Rukh Vynnyky,2 - 0,Metalist 1925 Kharkiv
159,04-12-2021,Metalist 1925 Kharkiv,0 - 1,Kolos Kovalivka
160,12-12-2021,Chornomorets,2 - 1,Metalist 1925 Kharkiv
161,31-07-2021,Minai,1 - 0,Oleksandria
162,11-08-2021,Dynamo Kyiv,2 - 0,Minai
163,14-08-2021,Zorya Luhansk,1 - 1,Minai
164,21-08-2021,Veres Rivne,1 - 0,Minai
165,29-08-2021,Minai,1 - 1,Shakhtar Donetsk
166,12-09-2021,Minai,2 - 2,Chornomorets
167,19-09-2021,Vorskla Poltava,2 - 0,Minai
168,26-09-2021,Minai,1 - 2,Lviv
169,03-10-2021,Metalist 1925 Kharkiv,1 - 0,Minai
170,17-10-2021,Minai,0 - 0,Desna
171,24-10-2021,Rukh Vynnyky,2 - 2,Minai
172,01-11-2021,Dnipro-1,4 - 0,Minai
173,06-11-2021,Minai,0 - 2,FC Mariupol
174,21-11-2021,Minai,2 - 2,Inhulets
175,24-11-2021,Minai,1 - 1,Kolos Kovalivka
176,27-11-2021,Minai,0 - 2,Dynamo Kyiv
177,05-12-2021,Oleksandria,3 - 0,Minai
178,12-12-2021,Kolos Kovalivka,2 - 1,Minai
179,25-07-2021,Zorya Luhansk,0 - 1,Oleksandria
180,31-07-2021,Minai,1 - 0,Oleksandria
181,07-08-2021,Shakhtar Donetsk,1 - 2,Oleksandria
182,15-08-2021,Lviv,1 - 1,Oleksandria
183,22-08-2021,Kolos Kovalivka,0 - 1,Oleksandria
184,27-08-2021,Chornomorets,2 - 2,Oleksandria
185,10-09-2021,Oleksandria,1 - 0,Inhulets
186,18-09-2021,Dynamo Kyiv,1 - 0,Oleksandria
187,25-09-2021,Oleksandria,2 - 1,FC Mariupol
188,03-10-2021,Veres Rivne,0 - 0,Oleksandria
189,17-10-2021,Oleksandria,1 - 2,Vorskla Poltava
190,22-10-2021,Desna,1 - 1,Oleksandria
191,31-10-2021,Rukh Vynnyky,0 - 0,Oleksandria
192,05-11-2021,Oleksandria,2 - 0,Metalist 1925 Kharkiv
193,20-11-2021,Dnipro-1,3 - 1,Oleksandria
194,29-11-2021,Oleksandria,0 - 1,Zorya Luhansk
195,05-12-2021,Oleksandria,3 - 0,Minai
196,11-12-2021,Oleksandria,1 - 2,Shakhtar Donetsk
197,25-07-2021,Metalist 1925 Kharkiv,2 - 1,Rukh Vynnyky
198,01-08-2021,Vorskla Poltava,2 - 0,Rukh Vynnyky
199,07-08-2021,Rukh Vynnyky,2 - 1,Veres Rivne
200,15-08-2021,Kolos Kovalivka,1 - 1,Rukh Vynnyky
201,21-08-2021,Dnipro-1,2 - 0,Rukh Vynnyky
202,29-08-2021,Rukh Vynnyky,1 - 0,Lviv
203,11-09-2021,Rukh Vynnyky,1 - 1,Zorya Luhansk
204,17-09-2021,Desna,1 - 0,Rukh Vynnyky
205,25-09-2021,Rukh Vynnyky,0 - 2,Dynamo Kyiv
206,01-10-2021,FC Mariupol,0 - 2,Rukh Vynnyky
207,24-10-2021,Rukh Vynnyky,2 - 2,Minai
208,31-10-2021,Rukh Vynnyky,0 - 0,Oleksandria
209,06-11-2021,Chornomorets,4 - 3,Rukh Vynnyky
210,20-11-2021,Shakhtar Donetsk,2 - 0,Rukh Vynnyky
211,28-11-2021,Rukh Vynnyky,2 - 0,Metalist 1925 Kharkiv
212,04-12-2021,Rukh Vynnyky,0 - 0,Vorskla Poltava
213,11-12-2021,Veres Rivne,1 - 1,Rukh Vynnyky
214,24-07-2021,Shakhtar Donetsk,2 - 1,Inhulets
215,30-07-2021,Lviv,0 - 3,Shakhtar Donetsk
216,07-08-2021,Shakhtar Donetsk,1 - 2,Oleksandria
217,13-08-2021,Shakhtar Donetsk,2 - 0,Metalist 1925 Kharkiv
218,21-08-2021,Chornomorets,0 - 3,Shakhtar Donetsk
219,29-08-2021,Minai,1 - 1,Shakhtar Donetsk
220,11-09-2021,Shakhtar Donetsk,2 - 0,Dnipro-1
221,18-09-2021,FC Mariupol,0 - 5,Shakhtar Donetsk
222,25-09-2021,Shakhtar Donetsk,4 - 1,Veres Rivne
223,03-10-2021,Dynamo Kyiv,0 - 0,Shakhtar Donetsk
224,15-10-2021,Shakhtar Donetsk,6 - 1,Zorya Luhansk
225,23-10-2021,Vorskla Poltava,0 - 2,Shakhtar Donetsk
226,30-10-2021,Shakhtar Donetsk,4 - 1,Desna
227,07-11-2021,Kolos Kovalivka,1 - 3,Shakhtar Donetsk
228,20-11-2021,Shakhtar Donetsk,2 - 0,Rukh Vynnyky
229,28-11-2021,Inhulets,0 - 1,Shakhtar Donetsk
230,03-12-2021,Shakhtar Donetsk,6 - 1,Lviv
231,11-12-2021,Oleksandria,1 - 2,Shakhtar Donetsk
232,24-07-2021,Veres Rivne,0 - 0,Kolos Kovalivka
233,01-08-2021,Dynamo Kyiv,4 - 0,Veres Rivne
234,07-08-2021,Rukh Vynnyky,2 - 1,Veres Rivne
235,14-08-2021,Veres Rivne,1 - 1,Vorskla Poltava
236,21-08-2021,Veres Rivne,1 - 0,Minai
237,29-08-2021,Desna,0 - 4,Veres Rivne
238,13-09-2021,Veres Rivne,1 - 0,Lviv
239,18-09-2021,Dnipro-1,1 - 0,Veres Rivne
240,25-09-2021,Shakhtar Donetsk,4 - 1,Veres Rivne
241,03-10-2021,Veres Rivne,0 - 0,Oleksandria
242,18-10-2021,Chornomorets,0 - 1,Veres Rivne
243,23-10-2021,Veres Rivne,2 - 0,FC Mariupol
244,30-10-2021,Inhulets,0 - 0,Veres Rivne
245,07-11-2021,Zorya Luhansk,3 - 0,Veres Rivne
246,22-11-2021,Veres Rivne,2 - 0,Metalist 1925 Kharkiv
247,28-11-2021,Kolos Kovalivka,1 - 0,Veres Rivne
248,04-12-2021,Veres Rivne,0 - 3,Dynamo Kyiv
249,11-12-2021,Veres Rivne,1 - 1,Rukh Vynnyky
250,26-07-2021,Vorskla Poltava,2 - 2,Dnipro-1
251,01-08-2021,Vorskla Poltava,2 - 0,Rukh Vynnyky
252,08-08-2021,Vorskla Poltava,4 - 1,Lviv
253,14-08-2021,Veres Rivne,1 - 1,Vorskla Poltava
254,20-08-2021,Vorskla Poltava,2 - 0,Metalist 1925 Kharkiv
255,29-08-2021,Zorya Luhansk,1 - 0,Vorskla Poltava
256,12-09-2021,Vorskla Poltava,2 - 2,Desna
257,19-09-2021,Vorskla Poltava,2 - 0,Minai
258,24-09-2021,Kolos Kovalivka,0 - 1,Vorskla Poltava
259,02-10-2021,Vorskla Poltava,3 - 0,Inhulets
260,17-10-2021,Oleksandria,1 - 2,Vorskla Poltava
261,23-10-2021,Vorskla Poltava,0 - 2,Shakhtar Donetsk
262,01-11-2021,Vorskla Poltava,0 - 0,Chornomorets
263,06-11-2021,Dynamo Kyiv,1 - 2,Vorskla Poltava
264,21-11-2021,Vorskla Poltava,5 - 1,FC Mariupol
265,27-11-2021,Dnipro-1,5 - 1,Vorskla Poltava
266,04-12-2021,Rukh Vynnyky,0 - 0,Vorskla Poltava
267,11-12-2021,Lviv,1 - 1,Vorskla Poltava
268,25-07-2021,Zorya Luhansk,0 - 1,Oleksandria
269,02-08-2021,Inhulets,1 - 5,Zorya Luhansk
270,08-08-2021,Zorya Luhansk,1 - 2,Dynamo Kyiv
271,14-08-2021,Zorya Luhansk,1 - 1,Minai
272,22-08-2021,FC Mariupol,3 - 4,Zorya Luhansk
273,29-08-2021,Zorya Luhansk,1 - 0,Vorskla Poltava
274,11-09-2021,Rukh Vynnyky,1 - 1,Zorya Luhansk
275,19-09-2021,Zorya Luhansk,3 - 0,Chornomorets
276,26-09-2021,Dnipro-1,0 - 4,Zorya Luhansk
277,03-10-2021,Zorya Luhansk,2 - 0,Desna
278,15-10-2021,Shakhtar Donetsk,6 - 1,Zorya Luhansk
279,24-10-2021,Zorya Luhansk,1 - 0,Kolos Kovalivka
280,31-10-2021,Metalist 1925 Kharkiv,1 - 6,Zorya Luhansk
281,07-11-2021,Zorya Luhansk,3 - 0,Veres Rivne
282,20-11-2021,Lviv,2 - 1,Zorya Luhansk
283,29-11-2021,Oleksandria,0 - 1,Zorya Luhansk
284,05-12-2021,Zorya Luhansk,1 - 0,Inhulets
285,12-12-2021,Dynamo Kyiv,1 - 1,Zorya Luhansk
