,date,home_team,score,away_team
107,24-07-2022,Club Brugge,3 - 2,Genk
108,31-07-2022,Eupen,2 - 1,Club Brugge
109,05-08-2022,Club Brugge,1 - 1,Zulte-Waregem
110,14-08-2022,Oud-Heverlee Leuven,0 - 3,Club Brugge
111,21-08-2022,Club Brugge,2 - 1,Kortrijk
112,26-08-2022,Charleroi,1 - 3,Club Brugge
113,02-09-2022,Club Brugge,4 - 0,Cercle Brugge
114,10-09-2022,Seraing United,0 - 2,Club Brugge
115,18-09-2022,Standard,3 - 0,Club Brugge
116,01-10-2022,Club Brugge,3 - 0,Mechelen
117,08-10-2022,Club Brugge,0 - 2,KVC Westerlo
118,16-10-2022,Anderlecht,0 - 1,Club Brugge
119,19-10-2022,Club Brugge,3 - 0,Sint-Truidense
120,22-10-2022,Union St. Gilloise,2 - 2,Club Brugge
121,29-10-2022,Club Brugge,4 - 2,Oostende
122,06-11-2022,Gent,2 - 0,Club Brugge
123,13-11-2022,Club Brugge,2 - 2,Royal Antwerp
124,26-12-2022,Club Brugge,1 - 1,Oud-Heverlee Leuven
125,08-01-2023,Genk,3 - 1,Club Brugge
126,15-01-2023,Club Brugge,1 - 1,Anderlecht
127,19-01-2023,Sint-Truidense,1 - 1,Club Brugge
128,22-01-2023,Club Brugge,2 - 2,Charleroi
129,29-01-2023,Zulte-Waregem,1 - 2,Club Brugge
130,05-02-2023,Royal Antwerp,0 - 0,Club Brugge
131,10-02-2023,Club Brugge,1 - 1,Union St. Gilloise
132,19-02-2023,Cercle Brugge,2 - 2,Club Brugge
133,26-02-2023,Club Brugge,2 - 0,Gent
134,03-03-2023,Oostende,3 - 0,Club Brugge
135,12-03-2023,Club Brugge,2 - 0,Standard
136,18-03-2023,Kortrijk,1 - 0,Club Brugge
137,02-04-2023,Mechelen,0 - 3,Club Brugge
138,07-04-2023,Club Brugge,2 - 0,Seraing United
139,15-04-2023,KVC Westerlo,0 - 0,Club Brugge
140,23-04-2023,Club Brugge,7 - 0,Eupen
141,30-04-2023,Genk,3 - 1,Club Brugge
142,06-05-2023,Club Brugge,1 - 2,Union St. Gilloise
143,14-05-2023,Royal Antwerp,3 - 2,Club Brugge
144,21-05-2023,Club Brugge,2 - 0,Royal Antwerp
145,28-05-2023,Club Brugge,1 - 3,Genk
146,04-06-2023,Union St. Gilloise,1 - 3,Club Brugge
147,23-07-2022,Charleroi,3 - 1,Eupen
148,31-07-2022,Eupen,2 - 1,Club Brugge
149,06-08-2022,Genk,4 - 2,Eupen
150,14-08-2022,Eupen,0 - 1,Royal Antwerp
151,19-08-2022,Eupen,1 - 3,Seraing United
152,28-08-2022,KVC Westerlo,0 - 1,Eupen
