,date,home_team,score,away_team
103,15-04-2023,SE Palmeiras,2 - 1,Cuiaba
104,22-04-2023,Cuiaba,1 - 1,RB Bragantino
105,30-04-2023,Cuiaba,1 - 2,Grêmio Porto Al
106,07-05-2023,America Mineiro,1 - 2,Cuiaba
107,10-05-2023,Cuiaba,0 - 4,Atletico Mineiro
108,13-05-2023,Fluminense FC,2 - 0,Cuiaba
109,22-05-2023,Cruzeiro,0 - 1,Cuiaba
110,27-05-2023,Cuiaba,1 - 1,Coritiba FBC
111,04-06-2023,Goiás EC,0 - 1,Cuiaba
112,10-06-2023,Corinthians,1 - 1,Cuiaba
113,22-06-2023,Cuiaba,0 - 1,Botafogo FR
114,27-06-2023,Vasco da Gama,1 - 0,Cuiaba
115,02-07-2023,Cuiaba,3 - 0,Santos
116,08-07-2023,Cuiaba,1 - 1,EC Bahia
117,16-07-2023,Fortaleza EC,? - ?,Cuiaba
118,15-04-2023,RB Bragantino,2 - 1,EC Bahia
119,24-04-2023,EC Bahia,1 - 2,Botafogo FR
120,01-05-2023,Vasco da Gama,0 - 1,EC Bahia
121,07-05-2023,EC Bahia,3 - 1,Coritiba FBC
122,10-05-2023,Santos,3 - 0,EC Bahia
123,13-05-2023,EC Bahia,2 - 3,Flamengo RJ
124,20-05-2023,EC Bahia,1 - 1,Goiás EC
125,28-05-2023,Internacional RS,2 - 0,EC Bahia
126,03-06-2023,Fortaleza EC,0 - 0,EC Bahia
127,10-06-2023,EC Bahia,2 - 2,Cruzeiro
128,22-06-2023,EC Bahia,1 - 0,SE Palmeiras
129,24-06-2023,Fluminense FC,2 - 1,EC Bahia
130,01-07-2023,EC Bahia,1 - 2,Grêmio Porto Al
131,08-07-2023,Cuiaba,1 - 1,EC Bahia
132,16-07-2023,CA Paranaense,? - ?,EC Bahia
133,16-04-2023,Flamengo RJ,3 - 0,Coritiba FBC
134,23-04-2023,Internacional RS,2 - 1,Flamengo RJ
135,30-04-2023,Flamengo RJ,2 - 3,Botafogo FR
136,07-05-2023,CA Paranaense,2 - 1,Flamengo RJ
137,10-05-2023,Flamengo RJ,2 - 0,Goiás EC
138,13-05-2023,EC Bahia,2 - 3,Flamengo RJ
139,21-05-2023,Flamengo RJ,1 - 0,Corinthians
140,27-05-2023,Flamengo RJ,1 - 1,Cruzeiro
141,05-06-2023,Vasco da Gama,1 - 4,Flamengo RJ
142,11-06-2023,Flamengo RJ,3 - 0,Grêmio Porto Al
143,23-06-2023,RB Bragantino,4 - 0,Flamengo RJ
144,25-06-2023,Santos,2 - 3,Flamengo RJ
145,01-07-2023,Flamengo RJ,2 - 0,Fortaleza EC
146,09-07-2023,SE Palmeiras,1 - 1,Flamengo RJ
147,16-07-2023,Fluminense FC,? - ?,Flamengo RJ
148,15-04-2023,America Mineiro,0 - 3,Fluminense FC
149,22-04-2023,Fluminense FC,2 - 0,CA Paranaense
150,29-04-2023,Fortaleza EC,4 - 2,Fluminense FC
151,07-05-2023,Fluminense FC,1 - 1,Vasco da Gama
152,11-05-2023,Cruzeiro,0 - 2,Fluminense FC
153,13-05-2023,Fluminense FC,2 - 0,Cuiaba
154,20-05-2023,Botafogo FR,1 - 0,Fluminense FC
155,28-05-2023,Corinthians,2 - 0,Fluminense FC
156,04-06-2023,Fluminense FC,2 - 1,RB Bragantino
157,11-06-2023,Goiás EC,2 - 2,Fluminense FC
158,22-06-2023,Fluminense FC,1 - 1,Atletico Mineiro
159,24-06-2023,Fluminense FC,2 - 1,EC Bahia
160,01-07-2023,Sao Paulo,1 - 0,Fluminense FC
161,09-07-2023,Fluminense FC,2 - 0,Internacional RS
162,16-07-2023,Fluminense FC,? - ?,Flamengo RJ
163,15-04-2023,Fortaleza EC,1 - 1,Internacional RS
164,23-04-2023,Coritiba FBC,0 - 3,Fortaleza EC
165,29-04-2023,Fortaleza EC,4 - 2,Fluminense FC
166,08-05-2023,Corinthians,1 - 1,Fortaleza EC
167,11-05-2023,Fortaleza EC,0 - 0,Sao Paulo
168,14-05-2023,Grêmio Porto Al,0 - 0,Fortaleza EC
169,20-05-2023,America Mineiro,2 - 1,Fortaleza EC
170,27-05-2023,Fortaleza EC,2 - 0,Vasco da Gama
171,03-06-2023,Fortaleza EC,0 - 0,EC Bahia
172,11-06-2023,Botafogo FR,2 - 0,Fortaleza EC
173,21-06-2023,Cruzeiro,0 - 1,Fortaleza EC
174,24-06-2023,Fortaleza EC,2 - 1,Atletico Mineiro
175,01-07-2023,Flamengo RJ,2 - 0,Fortaleza EC
176,09-07-2023,Fortaleza EC,1 - 0,CA Paranaense
177,16-07-2023,Fortaleza EC,? - ?,Cuiaba
178,15-04-2023,CA Paranaense,2 - 0,Goiás EC
179,23-04-2023,Goiás EC,3 - 1,Corinthians
180,30-04-2023,Internacional RS,1 - 0,Goiás EC
181,07-05-2023,Goiás EC,0 - 5,SE Palmeiras
182,10-05-2023,Flamengo RJ,2 - 0,Goiás EC
183,14-05-2023,Goiás EC,2 - 1,Botafogo FR
184,20-05-2023,EC Bahia,1 - 1,Goiás EC
185,28-05-2023,Sao Paulo,2 - 1,Goiás EC
186,04-06-2023,Goiás EC,0 - 1,Cuiaba
187,11-06-2023,Goiás EC,2 - 2,Fluminense FC
188,22-06-2023,Vasco da Gama,0 - 1,Goiás EC
189,25-06-2023,RB Bragantino,2 - 0,Goiás EC
190,03-07-2023,Goiás EC,1 - 2,Coritiba FBC
191,09-07-2023,Santos,4 - 3,Goiás EC
192,17-07-2023,Goiás EC,? - ?,Atletico Mineiro
193,16-04-2023,Grêmio Porto Al,1 - 0,Santos
194,23-04-2023,Cruzeiro,1 - 0,Grêmio Porto Al
195,30-04-2023,Cuiaba,1 - 2,Grêmio Porto Al
196,07-05-2023,Grêmio Porto Al,3 - 3,RB Bragantino
197,11-05-2023,SE Palmeiras,4 - 1,Grêmio Porto Al
198,14-05-2023,Grêmio Porto Al,0 - 0,Fortaleza EC
199,21-05-2023,Grêmio Porto Al,3 - 1,Internacional RS
200,27-05-2023,CA Paranaense,1 - 2,Grêmio Porto Al
201,04-06-2023,Grêmio Porto Al,2 - 1,Sao Paulo
202,11-06-2023,Flamengo RJ,3 - 0,Grêmio Porto Al
203,22-06-2023,Grêmio Porto Al,3 - 1,America Mineiro
204,25-06-2023,Grêmio Porto Al,5 - 1,Coritiba FBC
205,01-07-2023,EC Bahia,1 - 2,Grêmio Porto Al
206,09-07-2023,Grêmio Porto Al,0 - 2,Botafogo FR
207,15-04-2023,Fortaleza EC,1 - 1,Internacional RS
208,23-04-2023,Internacional RS,2 - 1,Flamengo RJ
209,30-04-2023,Internacional RS,1 - 0,Goiás EC
210,07-05-2023,Sao Paulo,2 - 0,Internacional RS
211,10-05-2023,Internacional RS,0 - 2,CA Paranaense
212,14-05-2023,Atletico Mineiro,2 - 0,Internacional RS
213,21-05-2023,Grêmio Porto Al,3 - 1,Internacional RS
214,28-05-2023,Internacional RS,2 - 0,EC Bahia
215,04-06-2023,Santos,1 - 1,Internacional RS
216,11-06-2023,Internacional RS,2 - 1,Vasco da Gama
217,22-06-2023,Coritiba FBC,0 - 1,Internacional RS
218,25-06-2023,America Mineiro,1 - 2,Internacional RS
219,02-07-2023,Internacional RS,0 - 0,Cruzeiro
220,09-07-2023,Fluminense FC,2 - 0,Internacional RS
