,date,home_team,score,away_team
101,14-05-2023,FK Jablonec,1 - 1,Baník Ostrava
102,21-05-2023,FK Jablonec,1 - 0,Zbrojovka Brno
103,24-05-2023,Pardubice,2 - 0,FK Jablonec
104,28-05-2023,FK Jablonec,0 - 2,Teplice
105,31-07-2022,Hradec Králové,1 - 0,Slavia Praha
106,07-08-2022,Slovácko,1 - 0,Hradec Králové
107,13-08-2022,Hradec Králové,1 - 2,Plzen
108,22-08-2022,Bohemians 1905,1 - 2,Hradec Králové
109,28-08-2022,Hradec Králové,1 - 0,Sigma Olomouc
110,31-08-2022,Mlada Boleslav,1 - 2,Hradec Králové
111,04-09-2022,Hradec Králové,0 - 0,Baník Ostrava
112,11-09-2022,FK Jablonec,3 - 0,Hradec Králové
113,18-09-2022,Hradec Králové,0 - 0,Zlin
114,01-10-2022,Sparta Praha,2 - 1,Hradec Králové
115,08-10-2022,Hradec Králové,4 - 1,Teplice
116,15-10-2022,Hradec Králové,2 - 1,Zbrojovka Brno
117,23-10-2022,České Budějovice,0 - 3,Hradec Králové
118,29-10-2022,Hradec Králové,1 - 3,Pardubice
119,06-11-2022,Slovan Liberec,2 - 0,Hradec Králové
120,13-11-2022,Hradec Králové,1 - 2,Slovácko
121,28-01-2023,Plzen,1 - 2,Hradec Králové
122,05-02-2023,Hradec Králové,0 - 2,Bohemians 1905
123,12-02-2023,Sigma Olomouc,2 - 2,Hradec Králové
124,18-02-2023,Hradec Králové,0 - 1,Mlada Boleslav
125,26-02-2023,Baník Ostrava,0 - 2,Hradec Králové
126,04-03-2023,Hradec Králové,1 - 4,FK Jablonec
127,11-03-2023,Zlin,2 - 2,Hradec Králové
128,18-03-2023,Hradec Králové,0 - 2,Sparta Praha
129,02-04-2023,Teplice,1 - 0,Hradec Králové
130,08-04-2023,Zbrojovka Brno,1 - 2,Hradec Králové
131,16-04-2023,Hradec Králové,2 - 1,České Budějovice
132,22-04-2023,Pardubice,1 - 0,Hradec Králové
133,26-04-2023,Hradec Králové,1 - 2,Slovan Liberec
134,30-04-2023,Slavia Praha,1 - 1,Hradec Králové
135,07-05-2023,Mlada Boleslav,0 - 0,Hradec Králové
136,13-05-2023,Hradec Králové,2 - 0,Mlada Boleslav
137,21-05-2023,Hradec Králové,0 - 4,Slovan Liberec
138,26-05-2023,Slovan Liberec,2 - 3,Hradec Králové
139,30-07-2022,Zlin,0 - 0,Mlada Boleslav
140,07-08-2022,Mlada Boleslav,2 - 2,FK Jablonec
141,13-08-2022,Zbrojovka Brno,3 - 1,Mlada Boleslav
142,20-08-2022,Mlada Boleslav,1 - 3,Sparta Praha
143,27-08-2022,Pardubice,0 - 3,Mlada Boleslav
144,31-08-2022,Mlada Boleslav,1 - 2,Hradec Králové
145,03-09-2022,České Budějovice,0 - 2,Mlada Boleslav
146,11-09-2022,Mlada Boleslav,1 - 1,Slovácko
147,17-09-2022,Slovan Liberec,1 - 3,Mlada Boleslav
148,01-10-2022,Mlada Boleslav,1 - 1,Sigma Olomouc
149,08-10-2022,Plzen,2 - 0,Mlada Boleslav
150,16-10-2022,Slavia Praha,2 - 1,Mlada Boleslav
151,23-10-2022,Mlada Boleslav,4 - 3,Bohemians 1905
152,29-10-2022,Baník Ostrava,3 - 1,Mlada Boleslav
153,06-11-2022,Mlada Boleslav,3 - 0,Teplice
154,12-11-2022,FK Jablonec,1 - 2,Mlada Boleslav
155,29-01-2023,Mlada Boleslav,0 - 0,Zbrojovka Brno
156,05-02-2023,Sparta Praha,4 - 1,Mlada Boleslav
157,12-02-2023,Mlada Boleslav,0 - 1,Pardubice
158,18-02-2023,Hradec Králové,0 - 1,Mlada Boleslav
159,25-02-2023,Mlada Boleslav,2 - 2,České Budějovice
160,05-03-2023,Slovácko,2 - 1,Mlada Boleslav
161,12-03-2023,Mlada Boleslav,4 - 0,Slovan Liberec
162,18-03-2023,Sigma Olomouc,2 - 0,Mlada Boleslav
163,01-04-2023,Mlada Boleslav,0 - 0,Plzen
164,09-04-2023,Mlada Boleslav,1 - 1,Slavia Praha
165,16-04-2023,Bohemians 1905,4 - 0,Mlada Boleslav
166,22-04-2023,Mlada Boleslav,1 - 0,Baník Ostrava
167,25-04-2023,Teplice,1 - 1,Mlada Boleslav
168,30-04-2023,Mlada Boleslav,1 - 1,Zlin
169,07-05-2023,Mlada Boleslav,0 - 0,Hradec Králové
170,13-05-2023,Hradec Králové,2 - 0,Mlada Boleslav
171,31-07-2022,Pardubice,0 - 2,České Budějovice
172,06-08-2022,Plzen,2 - 1,Pardubice
173,14-08-2022,Pardubice,2 - 1,Slovan Liberec
174,21-08-2022,Slavia Praha,7 - 0,Pardubice
175,27-08-2022,Pardubice,0 - 3,Mlada Boleslav
176,30-08-2022,Zlin,2 - 1,Pardubice
177,04-09-2022,Pardubice,0 - 2,Sigma Olomouc
178,11-09-2022,Baník Ostrava,3 - 0,Pardubice
179,18-09-2022,Pardubice,0 - 1,Bohemians 1905
180,02-10-2022,Teplice,5 - 1,Pardubice
181,08-10-2022,Pardubice,1 - 0,FK Jablonec
182,15-10-2022,Sparta Praha,5 - 2,Pardubice
183,22-10-2022,Pardubice,1 - 3,Zbrojovka Brno
184,29-10-2022,Hradec Králové,1 - 3,Pardubice
185,06-11-2022,Slovácko,1 - 0,Pardubice
186,13-11-2022,Pardubice,1 - 1,Plzen
187,29-01-2023,Slovan Liberec,1 - 1,Pardubice
188,04-02-2023,Pardubice,0 - 2,Slavia Praha
189,12-02-2023,Mlada Boleslav,0 - 1,Pardubice
190,19-02-2023,Pardubice,2 - 1,Zlin
191,26-02-2023,Sigma Olomouc,2 - 2,Pardubice
192,04-03-2023,Pardubice,1 - 1,Baník Ostrava
193,12-03-2023,Bohemians 1905,2 - 0,Pardubice
194,19-03-2023,Pardubice,3 - 1,Teplice
195,02-04-2023,FK Jablonec,1 - 0,Pardubice
196,09-04-2023,Pardubice,0 - 2,Sparta Praha
197,16-04-2023,Zbrojovka Brno,2 - 1,Pardubice
198,22-04-2023,Pardubice,1 - 0,Hradec Králové
199,25-04-2023,Pardubice,3 - 1,Slovácko
200,30-04-2023,České Budějovice,3 - 1,Pardubice
201,06-05-2023,Teplice,1 - 0,Pardubice
202,14-05-2023,Zbrojovka Brno,0 - 2,Pardubice
203,21-05-2023,Pardubice,1 - 2,Zlin
204,24-05-2023,Pardubice,2 - 0,FK Jablonec
205,28-05-2023,Baník Ostrava,2 - 4,Pardubice
206,01-06-2023,Příbram,0 - 2,Pardubice
207,04-06-2023,Pardubice,0 - 0,Příbram
208,30-07-2022,Teplice,2 - 2,Plzen
209,06-08-2022,Plzen,2 - 1,Pardubice
210,13-08-2022,Hradec Králové,1 - 2,Plzen
211,27-08-2022,České Budějovice,0 - 1,Plzen
212,31-08-2022,Plzen,3 - 0,Slovácko
213,03-09-2022,Slovan Liberec,0 - 1,Plzen
214,10-09-2022,Sigma Olomouc,2 - 3,Plzen
215,18-09-2022,Plzen,3 - 0,Slavia Praha
216,01-10-2022,Bohemians 1905,1 - 1,Plzen
217,08-10-2022,Plzen,2 - 0,Mlada Boleslav
218,16-10-2022,FK Jablonec,0 - 3,Plzen
219,22-10-2022,Plzen,3 - 1,Baník Ostrava
220,29-10-2022,Zlin,0 - 3,Plzen
221,05-11-2022,Plzen,0 - 1,Sparta Praha
222,09-11-2022,Plzen,4 - 0,Zbrojovka Brno
223,13-11-2022,Pardubice,1 - 1,Plzen
224,28-01-2023,Plzen,1 - 2,Hradec Králové
225,05-02-2023,Zbrojovka Brno,1 - 3,Plzen
226,12-02-2023,Plzen,2 - 1,České Budějovice
227,19-02-2023,Slovácko,2 - 0,Plzen
228,25-02-2023,Plzen,2 - 1,Slovan Liberec
229,04-03-2023,Plzen,1 - 1,Sigma Olomouc
230,11-03-2023,Slavia Praha,2 - 1,Plzen
231,19-03-2023,Plzen,1 - 2,Bohemians 1905
232,01-04-2023,Mlada Boleslav,0 - 0,Plzen
233,08-04-2023,Plzen,3 - 2,FK Jablonec
234,16-04-2023,Baník Ostrava,2 - 1,Plzen
235,23-04-2023,Plzen,4 - 0,Zlin
236,26-04-2023,Sparta Praha,2 - 1,Plzen
237,30-04-2023,Plzen,1 - 1,Teplice
238,06-05-2023,Plzen,2 - 2,Slovácko
239,13-05-2023,Plzen,1 - 3,Sigma Olomouc
240,20-05-2023,Slavia Praha,2 - 1,Plzen
241,23-05-2023,Plzen,0 - 2,Bohemians 1905
242,27-05-2023,Sparta Praha,0 - 1,Plzen
243,01-06-2023,Příbram,0 - 2,Pardubice
244,04-06-2023,Pardubice,0 - 0,Příbram
245,30-07-2022,Baník Ostrava,0 - 3,Sigma Olomouc
246,06-08-2022,Sigma Olomouc,0 - 2,Zbrojovka Brno
247,14-08-2022,Sparta Praha,2 - 0,Sigma Olomouc
248,21-08-2022,Sigma Olomouc,1 - 2,Slovácko
249,28-08-2022,Hradec Králové,1 - 0,Sigma Olomouc
250,31-08-2022,Sigma Olomouc,1 - 1,Slovan Liberec
251,04-09-2022,Pardubice,0 - 2,Sigma Olomouc
252,10-09-2022,Sigma Olomouc,2 - 3,Plzen
253,17-09-2022,České Budějovice,0 - 3,Sigma Olomouc
254,01-10-2022,Mlada Boleslav,1 - 1,Sigma Olomouc
255,09-10-2022,Sigma Olomouc,2 - 0,Slavia Praha
256,15-10-2022,Bohemians 1905,1 - 1,Sigma Olomouc
257,22-10-2022,Sigma Olomouc,2 - 1,Zlin
258,30-10-2022,Teplice,2 - 1,Sigma Olomouc
259,05-11-2022,Sigma Olomouc,3 - 0,FK Jablonec
260,13-11-2022,Zbrojovka Brno,2 - 3,Sigma Olomouc
261,28-01-2023,Sigma Olomouc,1 - 1,Sparta Praha
262,04-02-2023,Slovácko,0 - 0,Sigma Olomouc
263,12-02-2023,Sigma Olomouc,2 - 2,Hradec Králové
264,18-02-2023,Slovan Liberec,2 - 2,Sigma Olomouc
265,26-02-2023,Sigma Olomouc,2 - 2,Pardubice
266,04-03-2023,Plzen,1 - 1,Sigma Olomouc
267,11-03-2023,Sigma Olomouc,3 - 0,České Budějovice
268,18-03-2023,Sigma Olomouc,2 - 0,Mlada Boleslav
269,01-04-2023,Slavia Praha,4 - 0,Sigma Olomouc
270,09-04-2023,Sigma Olomouc,2 - 2,Bohemians 1905
271,15-04-2023,Zlin,0 - 1,Sigma Olomouc
272,22-04-2023,Sigma Olomouc,1 - 2,Teplice
273,26-04-2023,FK Jablonec,2 - 2,Sigma Olomouc
274,30-04-2023,Sigma Olomouc,1 - 4,Baník Ostrava
275,07-05-2023,Sigma Olomouc,0 - 1,Sparta Praha
276,13-05-2023,Plzen,1 - 3,Sigma Olomouc
277,20-05-2023,Slovácko,2 - 2,Sigma Olomouc
278,23-05-2023,Sigma Olomouc,2 - 3,Slavia Praha
279,27-05-2023,Bohemians 1905,0 - 1,Sigma Olomouc
280,31-07-2022,Hradec Králové,1 - 0,Slavia Praha
281,07-08-2022,Slavia Praha,4 - 1,Zlin
282,14-08-2022,FK Jablonec,2 - 3,Slavia Praha
283,21-08-2022,Slavia Praha,7 - 0,Pardubice
284,28-08-2022,Zbrojovka Brno,0 - 4,Slavia Praha
285,31-08-2022,Slavia Praha,6 - 0,Teplice
286,04-09-2022,Slovácko,1 - 1,Slavia Praha
287,11-09-2022,Slavia Praha,6 - 1,České Budějovice
288,18-09-2022,Plzen,3 - 0,Slavia Praha
289,02-10-2022,Slavia Praha,3 - 0,Slovan Liberec
