,date,home_team,score,away_team
107,04-09-2022,Atromitos,1 - 1,Panetolikos
108,10-09-2022,Ionikos,1 - 4,Atromitos
109,17-09-2022,Atromitos,0 - 0,Lamia
110,02-10-2022,Olympiakos,2 - 0,Atromitos
111,10-10-2022,Atromitos,2 - 1,Giannina
112,16-10-2022,AEK,1 - 0,Atromitos
113,22-10-2022,Atromitos,0 - 2,Volos New Football Club
114,30-10-2022,Levadeiakos,2 - 1,Atromitos
115,05-11-2022,Atromitos,0 - 0,Aris Thessalon.
116,09-11-2022,Atromitos,2 - 0,Asteras Tripolis
117,13-11-2022,Panathinaikos,2 - 0,Atromitos
118,22-12-2022,OFI,0 - 1,Atromitos
119,28-12-2022,Atromitos,1 - 1,PAOK
120,04-01-2023,Panetolikos,2 - 0,Atromitos
121,08-01-2023,Atromitos,2 - 0,Ionikos
122,14-01-2023,Lamia,1 - 1,Atromitos
123,22-01-2023,Atromitos,1 - 1,Olympiakos
124,28-01-2023,Giannina,1 - 1,Atromitos
125,12-02-2023,Volos New Football Club,2 - 1,Atromitos
126,20-02-2023,Atromitos,1 - 0,Levadeiakos
127,26-02-2023,Aris Thessalon.,2 - 1,Atromitos
128,04-03-2023,Asteras Tripolis,1 - 1,Atromitos
129,08-03-2023,Atromitos,0 - 1,AEK
130,12-03-2023,Atromitos,0 - 2,Panathinaikos
131,18-03-2023,Atromitos,2 - 0,Ionikos
132,01-04-2023,Levadeiakos,1 - 1,Atromitos
133,08-04-2023,Atromitos,1 - 1,Giannina
134,22-04-2023,Lamia,1 - 0,Atromitos
135,29-04-2023,Atromitos,2 - 3,OFI
136,06-05-2023,Atromitos,2 - 0,Panetolikos
137,13-05-2023,Asteras Tripolis,1 - 1,Atromitos
138,21-08-2022,Olympiakos,2 - 0,Giannina
139,27-08-2022,Giannina,1 - 1,Lamia
140,04-09-2022,AEK,2 - 0,Giannina
141,10-09-2022,Giannina,2 - 1,Levadeiakos
142,17-09-2022,Panathinaikos,3 - 0,Giannina
143,03-10-2022,Giannina,1 - 4,Panetolikos
144,10-10-2022,Atromitos,2 - 1,Giannina
145,16-10-2022,Giannina,2 - 2,OFI
146,23-10-2022,Ionikos,2 - 2,Giannina
147,31-10-2022,Giannina,2 - 1,Asteras Tripolis
148,05-11-2022,PAOK,2 - 0,Giannina
149,10-11-2022,Volos New Football Club,2 - 1,Giannina
150,13-11-2022,Giannina,0 - 4,Aris Thessalon.
151,21-12-2022,Giannina,2 - 2,Olympiakos
152,29-12-2022,Lamia,1 - 1,Giannina
153,03-01-2023,Giannina,2 - 1,AEK
154,07-01-2023,Levadeiakos,1 - 3,Giannina
155,15-01-2023,Giannina,0 - 1,Panathinaikos
156,20-01-2023,Panetolikos,1 - 1,Giannina
157,28-01-2023,Giannina,1 - 1,Atromitos
158,04-02-2023,OFI,0 - 0,Giannina
159,11-02-2023,Giannina,0 - 0,Ionikos
160,18-02-2023,Asteras Tripolis,1 - 1,Giannina
161,25-02-2023,Giannina,0 - 0,PAOK
162,05-03-2023,Giannina,0 - 1,Volos New Football Club
163,12-03-2023,Aris Thessalon.,3 - 1,Giannina
164,18-03-2023,Lamia,2 - 0,Giannina
165,01-04-2023,Giannina,0 - 1,OFI
166,08-04-2023,Atromitos,1 - 1,Giannina
167,22-04-2023,Giannina,3 - 2,Panetolikos
168,29-04-2023,Ionikos,0 - 1,Giannina
169,06-05-2023,Giannina,1 - 0,Asteras Tripolis
170,13-05-2023,Levadeiakos,3 - 3,Giannina
171,21-08-2022,Panathinaikos,1 - 0,Ionikos
172,26-08-2022,Ionikos,0 - 0,Levadeiakos
173,03-09-2022,Olympiakos,3 - 1,Ionikos
174,10-09-2022,Ionikos,1 - 4,Atromitos
175,18-09-2022,Volos New Football Club,2 - 0,Ionikos
176,03-10-2022,AEK,4 - 1,Ionikos
177,08-10-2022,Ionikos,1 - 1,Lamia
178,15-10-2022,Aris Thessalon.,2 - 1,Ionikos
179,23-10-2022,Ionikos,2 - 2,Giannina
180,29-10-2022,Ionikos,1 - 1,Panetolikos
181,05-11-2022,OFI,0 - 2,Ionikos
182,10-11-2022,Ionikos,0 - 3,PAOK
183,14-11-2022,Asteras Tripolis,1 - 0,Ionikos
184,21-12-2022,Ionikos,1 - 1,Panathinaikos
185,28-12-2022,Levadeiakos,1 - 0,Ionikos
186,03-01-2023,Ionikos,0 - 2,Olympiakos
187,08-01-2023,Atromitos,2 - 0,Ionikos
188,16-01-2023,Ionikos,0 - 1,Volos New Football Club
189,22-01-2023,Ionikos,1 - 2,AEK
190,30-01-2023,Lamia,0 - 2,Ionikos
191,04-02-2023,Ionikos,1 - 0,Aris Thessalon.
192,11-02-2023,Giannina,0 - 0,Ionikos
193,19-02-2023,Panetolikos,1 - 0,Ionikos
194,26-02-2023,Ionikos,0 - 2,OFI
195,05-03-2023,PAOK,6 - 0,Ionikos
196,12-03-2023,Ionikos,1 - 0,Asteras Tripolis
197,18-03-2023,Atromitos,2 - 0,Ionikos
198,01-04-2023,Ionikos,1 - 0,Asteras Tripolis
199,08-04-2023,Panetolikos,0 - 1,Ionikos
200,22-04-2023,Levadeiakos,2 - 2,Ionikos
201,29-04-2023,Ionikos,0 - 1,Giannina
202,06-05-2023,OFI,2 - 2,Ionikos
203,13-05-2023,Ionikos,2 - 2,Lamia
204,20-08-2022,Lamia,0 - 3,AEK
205,27-08-2022,Giannina,1 - 1,Lamia
206,03-09-2022,Lamia,0 - 0,Asteras Tripolis
207,12-09-2022,PAOK,1 - 0,Lamia
208,17-09-2022,Atromitos,0 - 0,Lamia
