,date,home_team,score,away_team
114,13-08-2022,Barcelona,0 - 0,Vallecano
115,21-08-2022,Sociedad,1 - 4,Barcelona
116,28-08-2022,Barcelona,4 - 0,Valladolid
117,03-09-2022,Sevilla,0 - 3,Barcelona
118,10-09-2022,Cadiz,0 - 4,Barcelona
119,17-09-2022,Barcelona,3 - 0,Elche
120,01-10-2022,Mallorca,0 - 1,Barcelona
121,09-10-2022,Barcelona,1 - 0,Celta
122,16-10-2022,Real Madrid,3 - 1,Barcelona
123,20-10-2022,Barcelona,3 - 0,Villarreal
124,23-10-2022,Barcelona,4 - 0,Ath Bilbao
125,29-10-2022,Valencia,0 - 1,Barcelona
126,05-11-2022,Barcelona,2 - 0,Almeria
127,08-11-2022,Osasuna,1 - 2,Barcelona
128,31-12-2022,Barcelona,1 - 1,Espanol
129,08-01-2023,Ath Madrid,0 - 1,Barcelona
130,22-01-2023,Barcelona,1 - 0,Getafe
131,28-01-2023,Girona,0 - 1,Barcelona
132,01-02-2023,Betis,1 - 2,Barcelona
133,05-02-2023,Barcelona,3 - 0,Sevilla
134,12-02-2023,Villarreal,0 - 1,Barcelona
135,19-02-2023,Barcelona,2 - 0,Cadiz
136,26-02-2023,Almeria,1 - 0,Barcelona
137,05-03-2023,Barcelona,1 - 0,Valencia
138,12-03-2023,Ath Bilbao,0 - 1,Barcelona
139,19-03-2023,Barcelona,2 - 1,Real Madrid
140,01-04-2023,Elche,0 - 4,Barcelona
141,10-04-2023,Barcelona,0 - 0,Girona
142,16-04-2023,Getafe,0 - 0,Barcelona
143,23-04-2023,Barcelona,1 - 0,Ath Madrid
144,26-04-2023,Vallecano,2 - 1,Barcelona
145,29-04-2023,Barcelona,4 - 0,Betis
146,02-05-2023,Barcelona,1 - 0,Osasuna
147,14-05-2023,Espanol,2 - 4,Barcelona
148,20-05-2023,Barcelona,1 - 2,Sociedad
149,23-05-2023,Valladolid,3 - 1,Barcelona
150,28-05-2023,Barcelona,3 - 0,Mallorca
151,04-06-2023,Celta,2 - 1,Barcelona
152,15-08-2022,Betis,3 - 0,Elche
153,20-08-2022,Mallorca,1 - 2,Betis
154,26-08-2022,Betis,1 - 0,Osasuna
155,03-09-2022,Real Madrid,2 - 1,Betis
156,11-09-2022,Betis,1 - 0,Villarreal
157,18-09-2022,Betis,2 - 1,Girona
158,02-10-2022,Celta,1 - 0,Betis
159,09-10-2022,Valladolid,0 - 0,Betis
160,16-10-2022,Betis,3 - 1,Almeria
161,19-10-2022,Cadiz,0 - 0,Betis
162,23-10-2022,Betis,1 - 2,Ath Madrid
163,30-10-2022,Sociedad,0 - 2,Betis
164,06-11-2022,Betis,1 - 1,Sevilla
165,10-11-2022,Valencia,3 - 0,Betis
166,29-12-2022,Betis,0 - 0,Ath Bilbao
167,08-01-2023,Vallecano,1 - 2,Betis
168,21-01-2023,Espanol,1 - 0,Betis
169,28-01-2023,Getafe,0 - 1,Betis
170,01-02-2023,Betis,1 - 2,Barcelona
171,04-02-2023,Betis,3 - 4,Celta
