,date,home_team,score,away_team
116,04-09-2022,Grasshoppers,3 - 0,FC Winterthur
117,10-09-2022,FC Winterthur,0 - 6,Lucerne
118,02-10-2022,FC Sion,1 - 3,FC Winterthur
119,09-10-2022,FC Zurich,0 - 0,FC Winterthur
120,15-10-2022,FC Winterthur,1 - 0,Grasshoppers
121,18-10-2022,FC Winterthur,1 - 0,FC Sion
122,23-10-2022,Basel,3 - 1,FC Winterthur
123,30-10-2022,FC Winterthur,1 - 0,St Gallen
124,05-11-2022,Lucerne,1 - 1,FC Winterthur
125,13-11-2022,FC Lugano,3 - 1,FC Winterthur
126,29-01-2023,Young Boys,5 - 1,FC Winterthur
127,05-02-2023,FC Winterthur,1 - 0,FC Lugano
128,12-02-2023,FC Zurich,1 - 1,FC Winterthur
129,15-02-2023,FC Winterthur,1 - 2,Servette FC
130,18-02-2023,FC Winterthur,1 - 1,FC Sion
131,26-02-2023,Servette FC,1 - 1,FC Winterthur
132,04-03-2023,FC Winterthur,1 - 1,Young Boys
133,12-03-2023,Grasshoppers,2 - 1,FC Winterthur
134,19-03-2023,FC Winterthur,1 - 0,St Gallen
135,01-04-2023,Basel,2 - 0,FC Winterthur
136,10-04-2023,FC Winterthur,1 - 2,Lucerne
137,16-04-2023,St Gallen,2 - 3,FC Winterthur
138,22-04-2023,FC Winterthur,1 - 2,Grasshoppers
139,27-04-2023,Lucerne,3 - 1,FC Winterthur
140,30-04-2023,FC Winterthur,1 - 4,Basel
141,06-05-2023,FC Sion,0 - 1,FC Winterthur
142,14-05-2023,FC Lugano,2 - 1,FC Winterthur
143,20-05-2023,FC Winterthur,0 - 1,Servette FC
144,25-05-2023,FC Winterthur,0 - 2,FC Zurich
145,29-05-2023,Young Boys,2 - 1,FC Winterthur
146,16-07-2022,Young Boys,4 - 0,FC Zurich
147,23-07-2022,FC Zurich,0 - 0,Lucerne
148,30-07-2022,St Gallen,2 - 0,FC Zurich
149,07-08-2022,FC Zurich,0 - 3,FC Sion
150,14-08-2022,FC Winterthur,1 - 1,FC Zurich
151,28-08-2022,FC Zurich,2 - 4,Basel
152,03-09-2022,FC Zurich,1 - 2,FC Lugano
153,11-09-2022,Servette FC,3 - 2,FC Zurich
