,date,home_team,score,away_team
116,05-01-2023,CD Santa Clara,0 - 4,Sp Braga
117,13-01-2023,Portimonense SC,0 - 0,CD Santa Clara
118,21-01-2023,CD Santa Clara,0 - 3,Benfica
119,29-01-2023,Casa Pia,2 - 1,CD Santa Clara
120,04-02-2023,CD Santa Clara,2 - 2,Boavista
121,11-02-2023,Arouca,1 - 0,CD Santa Clara
122,19-02-2023,CD Santa Clara,1 - 3,FC Famalicão
123,25-02-2023,Maritimo,3 - 1,CD Santa Clara
124,05-03-2023,CD Santa Clara,1 - 3,Guimaraes
125,11-03-2023,Pacos Ferreira,1 - 0,CD Santa Clara
126,17-03-2023,CD Santa Clara,0 - 2,Rio Ave
127,01-04-2023,Sp Lisbon,3 - 0,CD Santa Clara
128,07-04-2023,CD Santa Clara,0 - 1,Vizela
129,15-04-2023,Porto,2 - 1,CD Santa Clara
130,23-04-2023,CD Santa Clara,1 - 1,Chaves
131,30-04-2023,Estoril,3 - 0,CD Santa Clara
132,06-05-2023,CD Santa Clara,3 - 2,Gil Vicente
133,14-05-2023,Sp Braga,5 - 3,CD Santa Clara
134,20-05-2023,CD Santa Clara,1 - 0,Portimonense SC
135,27-05-2023,Benfica,3 - 0,CD Santa Clara
136,07-08-2022,CD Santa Clara,0 - 0,Casa Pia
137,13-08-2022,Casa Pia,0 - 1,Benfica
138,21-08-2022,Casa Pia,2 - 0,Boavista
139,29-08-2022,Guimaraes,0 - 1,Casa Pia
140,04-09-2022,Casa Pia,0 - 0,Arouca
141,11-09-2022,Pacos Ferreira,2 - 3,Casa Pia
142,18-09-2022,Casa Pia,1 - 0,FC Famalicão
143,03-10-2022,Maritimo,1 - 2,Casa Pia
144,09-10-2022,Casa Pia,0 - 1,Vizela
145,22-10-2022,Sp Lisbon,3 - 1,Casa Pia
146,30-10-2022,Casa Pia,1 - 0,Rio Ave
147,06-11-2022,Sp Braga,0 - 1,Casa Pia
148,13-11-2022,Casa Pia,1 - 2,Chaves
149,28-12-2022,Portimonense SC,1 - 2,Casa Pia
150,07-01-2023,Casa Pia,0 - 0,Porto
151,16-01-2023,Estoril,2 - 0,Casa Pia
152,22-01-2023,Casa Pia,1 - 3,Gil Vicente
153,29-01-2023,Casa Pia,2 - 1,CD Santa Clara
154,04-02-2023,Benfica,3 - 0,Casa Pia
155,13-02-2023,Boavista,0 - 0,Casa Pia
156,19-02-2023,Casa Pia,0 - 0,Guimaraes
157,25-02-2023,Arouca,2 - 0,Casa Pia
158,06-03-2023,Casa Pia,2 - 1,Pacos Ferreira
159,13-03-2023,FC Famalicão,1 - 0,Casa Pia
160,19-03-2023,Casa Pia,2 - 0,Maritimo
161,01-04-2023,Vizela,3 - 1,Casa Pia
162,09-04-2023,Casa Pia,3 - 4,Sp Lisbon
163,16-04-2023,Rio Ave,1 - 1,Casa Pia
164,21-04-2023,Casa Pia,0 - 1,Sp Braga
165,29-04-2023,Chaves,1 - 0,Casa Pia
166,05-05-2023,Casa Pia,1 - 1,Portimonense SC
167,14-05-2023,Porto,2 - 1,Casa Pia
168,21-05-2023,Casa Pia,2 - 2,Estoril
169,27-05-2023,Gil Vicente,1 - 0,Casa Pia
170,07-08-2022,Chaves,0 - 1,Guimaraes
171,15-08-2022,Maritimo,1 - 2,Chaves
172,20-08-2022,Chaves,1 - 1,Vizela
173,27-08-2022,Sp Lisbon,0 - 2,Chaves
174,05-09-2022,Chaves,1 - 1,Rio Ave
175,10-09-2022,Porto,3 - 0,Chaves
176,16-09-2022,Portimonense SC,1 - 0,Chaves
177,01-10-2022,Chaves,1 - 1,Estoril
178,09-10-2022,Sp Braga,0 - 1,Chaves
179,23-10-2022,Chaves,3 - 1,Gil Vicente
180,29-10-2022,Benfica,5 - 0,Chaves
181,07-11-2022,Chaves,0 - 0,CD Santa Clara
182,13-11-2022,Casa Pia,1 - 2,Chaves
183,30-12-2022,Chaves,0 - 2,FC Famalicão
184,08-01-2023,Pacos Ferreira,1 - 1,Chaves
185,15-01-2023,Chaves,1 - 1,Arouca
186,23-01-2023,Boavista,1 - 1,Chaves
187,30-01-2023,Guimaraes,2 - 1,Chaves
188,05-02-2023,Chaves,2 - 1,Maritimo
189,10-02-2023,Vizela,0 - 0,Chaves
190,20-02-2023,Chaves,2 - 3,Sp Lisbon
191,26-02-2023,Rio Ave,1 - 0,Chaves
192,04-03-2023,Chaves,1 - 3,Porto
193,11-03-2023,Chaves,2 - 0,Portimonense SC
194,18-03-2023,Estoril,0 - 2,Chaves
195,02-04-2023,Chaves,1 - 2,Sp Braga
196,10-04-2023,Gil Vicente,0 - 0,Chaves
197,15-04-2023,Chaves,1 - 0,Benfica
198,23-04-2023,CD Santa Clara,1 - 1,Chaves
199,29-04-2023,Chaves,1 - 0,Casa Pia
200,08-05-2023,FC Famalicão,1 - 2,Chaves
201,13-05-2023,Chaves,2 - 0,Pacos Ferreira
202,20-05-2023,Arouca,1 - 0,Chaves
203,27-05-2023,Chaves,1 - 4,Boavista
204,06-08-2022,Estoril,2 - 0,FC Famalicão
205,14-08-2022,Guimaraes,1 - 0,Estoril
206,19-08-2022,Estoril,2 - 2,Rio Ave
207,26-08-2022,Pacos Ferreira,0 - 3,Estoril
208,02-09-2022,Estoril,0 - 2,Sp Lisbon
209,12-09-2022,Vizela,0 - 1,Estoril
210,17-09-2022,Estoril,1 - 1,Porto
211,01-10-2022,Chaves,1 - 1,Estoril
212,07-10-2022,Gil Vicente,0 - 1,Estoril
213,22-10-2022,Estoril,0 - 2,Sp Braga
214,30-10-2022,Portimonense SC,1 - 1,Estoril
215,06-11-2022,Estoril,1 - 5,Benfica
216,14-11-2022,CD Santa Clara,3 - 1,Estoril
217,07-01-2023,Arouca,2 - 0,Estoril
218,16-01-2023,Estoril,2 - 0,Casa Pia
219,22-01-2023,Maritimo,1 - 0,Estoril
220,29-01-2023,FC Famalicão,1 - 0,Estoril
221,04-02-2023,Estoril,0 - 1,Guimaraes
222,09-02-2023,Estoril,2 - 1,Boavista
223,13-02-2023,Rio Ave,2 - 0,Estoril
224,18-02-2023,Estoril,1 - 3,Pacos Ferreira
225,27-02-2023,Sp Lisbon,2 - 0,Estoril
226,04-03-2023,Estoril,0 - 3,Vizela
227,10-03-2023,Porto,3 - 2,Estoril
228,18-03-2023,Estoril,0 - 2,Chaves
229,31-03-2023,Estoril,1 - 0,Gil Vicente
230,08-04-2023,Sp Braga,4 - 1,Estoril
231,15-04-2023,Estoril,0 - 1,Portimonense SC
232,23-04-2023,Benfica,1 - 0,Estoril
233,30-04-2023,Estoril,3 - 0,CD Santa Clara
234,06-05-2023,Boavista,1 - 0,Estoril
235,15-05-2023,Estoril,2 - 0,Arouca
236,21-05-2023,Casa Pia,2 - 2,Estoril
237,27-05-2023,Estoril,3 - 1,Maritimo
238,03-06-2023,Estrela,2 - 1,Maritimo
239,06-08-2022,Estoril,2 - 0,FC Famalicão
240,12-08-2022,FC Famalicão,0 - 3,Sp Braga
241,22-08-2022,Gil Vicente,0 - 0,FC Famalicão
242,28-08-2022,FC Famalicão,1 - 0,CD Santa Clara
243,04-09-2022,Portimonense SC,1 - 0,FC Famalicão
244,10-09-2022,FC Famalicão,0 - 1,Benfica
245,18-09-2022,Casa Pia,1 - 0,FC Famalicão
246,02-10-2022,FC Famalicão,4 - 0,Boavista
247,10-10-2022,Arouca,4 - 1,FC Famalicão
248,22-10-2022,FC Famalicão,2 - 1,Pacos Ferreira
249,31-10-2022,Guimaraes,3 - 2,FC Famalicão
250,06-11-2022,Maritimo,0 - 0,FC Famalicão
251,13-11-2022,FC Famalicão,1 - 2,Sp Lisbon
252,30-12-2022,Chaves,0 - 2,FC Famalicão
253,06-01-2023,FC Famalicão,2 - 1,Vizela
254,15-01-2023,Porto,4 - 1,FC Famalicão
255,22-01-2023,FC Famalicão,0 - 0,Rio Ave
256,29-01-2023,FC Famalicão,1 - 0,Estoril
257,05-02-2023,Sp Braga,4 - 1,FC Famalicão
258,12-02-2023,FC Famalicão,0 - 1,Gil Vicente
259,19-02-2023,CD Santa Clara,1 - 3,FC Famalicão
260,24-02-2023,FC Famalicão,1 - 0,Portimonense SC
261,03-03-2023,Benfica,2 - 0,FC Famalicão
262,13-03-2023,FC Famalicão,1 - 0,Casa Pia
263,19-03-2023,Boavista,1 - 2,FC Famalicão
264,03-04-2023,FC Famalicão,0 - 1,Arouca
265,08-04-2023,Pacos Ferreira,1 - 3,FC Famalicão
266,14-04-2023,FC Famalicão,2 - 1,Guimaraes
267,22-04-2023,FC Famalicão,3 - 2,Maritimo
268,30-04-2023,Sp Lisbon,2 - 1,FC Famalicão
269,08-05-2023,FC Famalicão,1 - 2,Chaves
270,13-05-2023,Vizela,0 - 0,FC Famalicão
271,20-05-2023,FC Famalicão,2 - 4,Porto
272,26-05-2023,Rio Ave,2 - 2,FC Famalicão
273,08-08-2022,Gil Vicente,1 - 0,Pacos Ferreira
274,15-08-2022,Arouca,1 - 0,Gil Vicente
275,22-08-2022,Gil Vicente,0 - 0,FC Famalicão
276,29-08-2022,Vizela,2 - 2,Gil Vicente
277,03-09-2022,Gil Vicente,0 - 2,Porto
278,11-09-2022,Maritimo,1 - 2,Gil Vicente
279,17-09-2022,Gil Vicente,2 - 2,Rio Ave
280,30-09-2022,Sp Lisbon,3 - 1,Gil Vicente
281,07-10-2022,Gil Vicente,0 - 1,Estoril
282,23-10-2022,Chaves,3 - 1,Gil Vicente
283,30-10-2022,Gil Vicente,0 - 1,Sp Braga
284,04-11-2022,Gil Vicente,1 - 2,Portimonense SC
285,13-11-2022,Benfica,3 - 1,Gil Vicente
286,29-12-2022,Gil Vicente,1 - 0,CD Santa Clara
287,08-01-2023,Boavista,1 - 0,Gil Vicente
288,16-01-2023,Gil Vicente,2 - 1,Guimaraes
289,22-01-2023,Casa Pia,1 - 3,Gil Vicente
290,31-01-2023,Pacos Ferreira,2 - 1,Gil Vicente
291,05-02-2023,Gil Vicente,1 - 1,Arouca
292,12-02-2023,FC Famalicão,0 - 1,Gil Vicente
293,17-02-2023,Gil Vicente,1 - 1,Vizela
