,date,home_team,score,away_team
97,03-06-2023,FK Austria Vienna,1 - 1,FC Salzburg
98,22-07-2022,FC Salzburg,3 - 0,FK Austria Vienna
99,31-07-2022,FK Austria Vienna,1 - 1,LASK Linz
100,07-08-2022,SCR Altach,3 - 2,FK Austria Vienna
101,13-08-2022,FK Austria Vienna,2 - 1,Swarovski Watt
102,21-08-2022,Wolfsberger AC,1 - 2,FK Austria Vienna
103,28-08-2022,Austria Klagenfurt,3 - 3,FK Austria Vienna
104,03-09-2022,FK Austria Vienna,2 - 2,Austria Lustenau
105,11-09-2022,Hartberg,0 - 3,FK Austria Vienna
106,18-09-2022,FK Austria Vienna,3 - 0,SV Ried
107,02-10-2022,FK Austria Vienna,0 - 3,SK Sturm Graz
108,09-10-2022,Rapid Vienna,1 - 2,FK Austria Vienna
109,16-10-2022,FK Austria Vienna,1 - 3,FC Salzburg
110,23-10-2022,LASK Linz,2 - 2,FK Austria Vienna
111,30-10-2022,FK Austria Vienna,2 - 1,SCR Altach
112,06-11-2022,Swarovski Watt,0 - 0,FK Austria Vienna
113,13-11-2022,FK Austria Vienna,0 - 1,Wolfsberger AC
114,12-02-2023,FK Austria Vienna,3 - 1,Austria Klagenfurt
115,19-02-2023,Austria Lustenau,1 - 0,FK Austria Vienna
116,25-02-2023,FK Austria Vienna,3 - 0,Hartberg
117,04-03-2023,SV Ried,1 - 3,FK Austria Vienna
118,12-03-2023,SK Sturm Graz,3 - 1,FK Austria Vienna
119,19-03-2023,FK Austria Vienna,2 - 0,Rapid Vienna
120,02-04-2023,FK Austria Vienna,2 - 2,LASK Linz
121,09-04-2023,FC Salzburg,3 - 3,FK Austria Vienna
122,16-04-2023,Rapid Vienna,3 - 3,FK Austria Vienna
123,23-04-2023,FK Austria Vienna,1 - 2,Austria Klagenfurt
124,26-04-2023,SK Sturm Graz,3 - 2,FK Austria Vienna
125,07-05-2023,FK Austria Vienna,1 - 2,SK Sturm Graz
126,14-05-2023,FK Austria Vienna,3 - 1,Rapid Vienna
127,21-05-2023,Austria Klagenfurt,1 - 1,FK Austria Vienna
128,28-05-2023,LASK Linz,3 - 1,FK Austria Vienna
129,03-06-2023,FK Austria Vienna,1 - 1,FC Salzburg
130,08-06-2023,Austria Lustenau,1 - 1,FK Austria Vienna
131,11-06-2023,FK Austria Vienna,5 - 0,Austria Lustenau
132,24-07-2022,Hartberg,2 - 1,SCR Altach
133,31-07-2022,Swarovski Watt,2 - 1,Hartberg
134,06-08-2022,Hartberg,0 - 2,FC Salzburg
135,14-08-2022,Austria Lustenau,4 - 1,Hartberg
136,27-08-2022,Hartberg,2 - 0,SV Ried
137,03-09-2022,SK Sturm Graz,0 - 0,Hartberg
138,11-09-2022,Hartberg,0 - 3,FK Austria Vienna
139,17-09-2022,Wolfsberger AC,3 - 1,Hartberg
140,02-10-2022,Hartberg,2 - 3,Austria Klagenfurt
141,08-10-2022,LASK Linz,0 - 3,Hartberg
142,16-10-2022,SCR Altach,1 - 0,Hartberg
143,22-10-2022,Hartberg,1 - 5,Swarovski Watt
144,26-10-2022,Rapid Vienna,5 - 1,Hartberg
145,29-10-2022,FC Salzburg,1 - 0,Hartberg
146,05-11-2022,Hartberg,1 - 1,Austria Lustenau
147,12-11-2022,Hartberg,1 - 2,Rapid Vienna
148,12-02-2023,SV Ried,0 - 1,Hartberg
149,18-02-2023,Hartberg,1 - 2,SK Sturm Graz
150,25-02-2023,FK Austria Vienna,3 - 0,Hartberg
151,04-03-2023,Hartberg,2 - 1,Wolfsberger AC
152,12-03-2023,Austria Klagenfurt,1 - 0,Hartberg
153,19-03-2023,Hartberg,2 - 2,LASK Linz
154,31-03-2023,Hartberg,0 - 1,Austria Lustenau
155,08-04-2023,SV Ried,1 - 3,Hartberg
156,15-04-2023,Hartberg,2 - 2,SCR Altach
157,21-04-2023,Wolfsberger AC,2 - 2,Hartberg
158,29-04-2023,Swarovski Watt,1 - 1,Hartberg
159,06-05-2023,Hartberg,5 - 0,Swarovski Watt
160,13-05-2023,SCR Altach,0 - 1,Hartberg
161,20-05-2023,Hartberg,0 - 2,Wolfsberger AC
162,27-05-2023,Hartberg,2 - 0,SV Ried
163,02-06-2023,Austria Lustenau,5 - 1,Hartberg
164,23-07-2022,LASK Linz,3 - 1,Austria Klagenfurt
165,31-07-2022,FK Austria Vienna,1 - 1,LASK Linz
166,06-08-2022,Wolfsberger AC,1 - 5,LASK Linz
167,14-08-2022,LASK Linz,2 - 1,Rapid Vienna
168,20-08-2022,SK Sturm Graz,0 - 1,LASK Linz
169,27-08-2022,LASK Linz,4 - 1,SCR Altach
170,04-09-2022,LASK Linz,1 - 1,SV Ried
171,11-09-2022,Austria Lustenau,1 - 1,LASK Linz
172,17-09-2022,LASK Linz,1 - 4,Swarovski Watt
173,01-10-2022,FC Salzburg,1 - 1,LASK Linz
174,08-10-2022,LASK Linz,0 - 3,Hartberg
175,15-10-2022,Austria Klagenfurt,1 - 3,LASK Linz
176,23-10-2022,LASK Linz,2 - 2,FK Austria Vienna
177,30-10-2022,LASK Linz,4 - 1,Wolfsberger AC
178,06-11-2022,Rapid Vienna,1 - 0,LASK Linz
179,13-11-2022,LASK Linz,1 - 1,SK Sturm Graz
180,12-02-2023,SCR Altach,0 - 1,LASK Linz
181,18-02-2023,SV Ried,1 - 1,LASK Linz
182,24-02-2023,LASK Linz,1 - 0,Austria Lustenau
183,05-03-2023,Swarovski Watt,2 - 3,LASK Linz
184,12-03-2023,LASK Linz,0 - 2,FC Salzburg
185,19-03-2023,Hartberg,2 - 2,LASK Linz
186,02-04-2023,FK Austria Vienna,2 - 2,LASK Linz
187,09-04-2023,LASK Linz,2 - 1,SK Sturm Graz
188,16-04-2023,FC Salzburg,0 - 0,LASK Linz
189,23-04-2023,LASK Linz,3 - 1,Rapid Vienna
190,30-04-2023,LASK Linz,4 - 0,Austria Klagenfurt
191,07-05-2023,Austria Klagenfurt,1 - 1,LASK Linz
192,14-05-2023,LASK Linz,0 - 1,FC Salzburg
193,21-05-2023,Rapid Vienna,1 - 1,LASK Linz
194,28-05-2023,LASK Linz,3 - 1,FK Austria Vienna
195,03-06-2023,SK Sturm Graz,2 - 0,LASK Linz
196,24-07-2022,Rapid Vienna,1 - 0,SV Ried
197,31-07-2022,Austria Klagenfurt,0 - 1,Rapid Vienna
198,07-08-2022,Rapid Vienna,1 - 1,Austria Lustenau
199,14-08-2022,LASK Linz,2 - 1,Rapid Vienna
200,28-08-2022,Rapid Vienna,1 - 2,SK Sturm Graz
201,04-09-2022,SCR Altach,0 - 1,Rapid Vienna
202,10-09-2022,Rapid Vienna,1 - 3,Wolfsberger AC
203,18-09-2022,FC Salzburg,1 - 1,Rapid Vienna
